seed,epoch,cluster,CCI,Meaning,Coherence,Rc,epsilon,pca1,pca2
0,0,0,0.6319222177600319,0.9372168185841705,0.5921803486443571,0.40457775839310267,0.47805433287500126,-0.29800779622739126,1.5251239568303276
0,0,1,1.0718600007108765,0.7940474669941483,0.7202811568917444,0.25518780384130335,0.2945999277826719,-1.7186791610376098,-0.5245106389297985
0,0,2,0.3800941251148314,0.5703569447621666,0.8936424663394286,0.5965164590115657,0.5882288387065662,2.6466123426731563,-0.06359036294129153
0,0,3,0.8374212279867067,0.6346544168228788,0.4907739518488486,0.2999819492701528,0.34685437581120654,-1.2334943875817657,-0.3316446670224006
0,1,0,0.5614842365446003,0.8676426277841568,0.6190727266778128,0.34324453082053885,0.49649841883093637,-0.12268184146946814,1.1886325109036493
0,1,1,0.3025452996654942,0.4872702895664787,0.9424117337417525,0.5387795605640253,0.6061892461389505,2.92515433489368,-0.4976467710604474
0,1,2,1.0447062271387892,0.7541850823098362,0.7681517642966681,0.19830014033202334,0.34351573593576734,-1.4993928860107328,-0.7537636439853547
0,1,3,0.7960907738478855,0.585705694138286,0.52313819362539,0.24937680276521493,0.36058732530105037,-1.1148457374875966,-0.6151407020758367
0,2,0,0.6341017055254078,0.8850059636986904,0.6166984689743094,0.4104395165211563,0.5493533994692654,0.12830250017426928,1.374450549892906
0,2,1,0.3678835244004438,0.5060551287910889,0.9543271121266803,0.592651752813367,0.6521189952723014,3.152018543172811,-0.3570147737843224
0,2,2,1.1243412847246148,0.7629674401517283,0.7431998191465631,0.2934137521600853,0.38838330814891664,-1.2345611017201357,-0.5498142409325708
0,2,3,0.8653430746078469,0.6118288986572845,0.5013435601634462,0.3275197327327338,0.3979282915559305,-0.9395523684239114,-0.35979840594289414
0,3,0,0.6249729331120729,0.8705724084442279,0.6580747887072157,0.415237157998745,0.5642426786083663,0.3453211245262583,1.2657856815516686
0,3,1,1.121299955156476,0.7712274647595331,0.8014887827884757,0.2833750480301139,0.41099435069410967,-1.0505946707666758,-0.5986904724056812
0,3,2,0.36768220874913304,0.4826055889354859,0.9832858364512529,0.6098881657582726,0.6684327340804608,3.385516134772846,-0.47431126909663035
0,3,3,0.860803798451484,0.6078821646061101,0.5589687950461507,0.32339864256625206,0.4309125854924141,-0.6750125345020751,-0.43461912811782394
0,4,0,0.6055515497027603,0.9567245090135368,0.5839042839562182,0.4083562592559674,0.5776533807285333,0.06556125797623577,1.8707750419875562
0,4,1,0.8613764557458067,0.6596750783908841,0.4762937085698077,0.32289335186735635,0.39022781965834674,-1.1240135166147964,-0.09788669675818117
0,4,2,0.36877176886732,0.6290334733677196,0.9006509445453007,0.5823873948500065,0.7067788510883308,2.9565581032058863,0.43005522249530825
0,4,3,1.10001676181679,0.835036126831117,0.6983170400922804,0.28490889790375884,0.37254486582769,-1.5167370696468325,-0.1275321970283486
1,0,0,0.42236548623155806,0.4163684839244411,0.872305313844286,0.5851726756335559,0.6389956342935078,2.9299407494955987,-0.7078488374152742
1,0,1,1.0949987447676308,0.7429965243779181,0.6709588989138912,0.12881578462573084,0.3030562241813705,-2.205211145568807,-0.8307714585839558
1,0,2,0.606870096781974,0.9439634563517396,0.5526745227001806,0.37875157806432325,0.48201588403712164,-0.4385888247843699,1.6475612924748628
1,0,3,0.8269226741273177,0.5749165607896612,0.44923583739369954,0.2708991921809351,0.41749321891439134,-1.0607199766269615,-0.4066838874693001
1,1,0,0.4024080744548503,0.37826538126949977,0.9597227343480881,0.5788107046128679,0.6922833489410958,3.423961552299031,-0.9495899761524669
