run_id,coupling_strength,trade_intensity,agents_per_civ,epochs_cap,num_shocks,cultural_diffusion_rate,assimilation_time,cci_convergence,contagion_type,training_change_A,training_change_B,cross_resilience_gain,equilibrium_stability,final_cultural_distance,final_cci_gap,time_sec
EX_K00,0.0,0.1,40,600,2,0.0,199,6.839163675446704e-05,learning_contagion,1.0,0.050000000000000044,-0.3421949530309767,0.9355522799867932,0.0,-0.017060574776873283,0.7085487842559814
EX_K05,0.05,0.1,40,600,2,0.0025000000000000005,180,4.9587905493620167e-05,learning_contagion,1.0,0.09999999999999998,-0.35547698270612615,0.9361456880717183,0.0,0.08358023527659053,0.728557825088501
EX_K10,0.1,0.1,40,600,2,0.005000000000000001,136,4.9307172386223305e-05,learning_contagion,1.0,0.125,-0.3264257140174629,0.93870877382264,0.0,0.045220649376252475,0.754734992980957
EX_K20,0.2,0.1,40,600,2,0.010000000000000002,28,0.000126255354862461,learning_contagion,1.0,0.09999999999999998,-0.35565281611941124,0.9443985074607226,0.0,0.011418405630976292,0.811959981918335
