epoch,tau,RR,DET,LAM,Lmax,ENTR,TT
0,1.3766147415474013,0.1,0.6968,0.76552,500,1.4350830428125791,3.64117199391172
1,0.8728291563715016,0.1,0.86192,0.89432,500,2.2329006209776203,7.044108380592313
2,0.8743193051581112,0.1,0.88592,0.91296,500,2.3996911673237706,8.459599703484063
3,0.831191768752277,0.1,0.84128,0.88004,500,2.1579857801657836,6.349494949494949
