impact_parameter_m,time_delay_s,relative_delay,t_vacuum_s,effective_mass_kg,log_term
0.5,1.9985374505678798e-09,0.029919946148638913,6.67961580090877e-08,6.732954607500544e+25,2.995732273553991
1.0,1.5361194263226236e-09,0.02291157801152202,6.704555336826312e-08,6.732954607500546e+25,2.302585092994046
1.5,1.265622222481582e-09,0.018761309188066035,6.745916341950365e-08,6.732954607500546e+25,1.8971199848858813
2.0,1.0737014020773667e-09,0.01578183715657214,6.803399321797194e-08,6.732954607500545e+25,1.6094379124341003
