condition_id,n_agents,epochs,openness,kE,kI,null_shuffle,seed,stability_cci_mean,stability_hazard_mean,stability_cci_slope,auh_590_610
1,140,1400,0.004,0.8,0.8,False,1,0.48957961370718783,0.08243588598255308,8.275648419646553e-07,2.8378761788618942
2,140,1400,0.004,0.8,1.0,False,1,0.4896118362119045,0.08242509288759488,5.812188518799152e-07,2.8365519450786003
3,140,1400,0.004,0.8,1.2,False,1,0.4993700933382456,0.08162784012063276,-4.732034356835018e-06,2.8103936324345806
4,140,1400,0.004,0.8,1.35,False,1,0.49937405977738597,0.0816269056405678,-4.77402154976198e-06,2.8097809312511273
5,140,1400,0.004,0.8,1.5,False,1,0.5122103433259901,0.08064579973432458,-9.066811943329534e-06,2.7845315080271726
6,140,1400,0.004,1.0,0.8,False,1,0.48957208431640176,0.08243409678703553,8.973435222379971e-07,2.837907949659457
7,140,1400,0.004,1.0,1.0,False,1,0.4896042827184979,0.08242322651960592,6.510574614031768e-07,2.836390979533082
8,140,1400,0.004,1.0,1.2,False,1,0.4993608096653498,0.081626161281526,-4.640611299240122e-06,2.8102377792544706
9,140,1400,0.004,1.0,1.35,False,1,0.499364794713628,0.08162522372195317,-4.683089372771234e-06,2.8097212711478727
10,140,1400,0.004,1.0,1.5,False,1,0.5122024589150354,0.08064398599467354,-8.987197059332943e-06,2.784372071585393
11,140,1400,0.004,1.2,0.8,False,1,0.489569515455885,0.0824340106418956,9.239021472986283e-07,2.8378264167615197
12,140,1400,0.004,1.2,1.0,False,1,0.48960167103866825,0.08242314696554034,6.780888454292042e-07,2.836309654698637
13,140,1400,0.004,1.2,1.2,False,1,0.4993577736921166,0.08162615484040539,-4.607318761985867e-06,2.8101575056457593
14,140,1100,0.004,1.2,1.35,False,1,0.5008823806187654,0.08163075458814899,8.911229623126408e-06,2.8097003980946775
15,140,1100,0.004,1.2,1.5,False,1,0.5093486115641275,0.08096621120087744,8.525523716694703e-06,2.7842894694918687
16,140,1100,0.007,0.8,0.8,False,1,0.4883238062174751,0.08287183719732504,1.2011857577239443e-05,2.836920437099306
17,140,1100,0.007,0.8,1.0,False,1,0.4881594379341784,0.08277629635373765,1.4038173474840131e-05,2.8356020742492842
18,140,1100,0.007,0.8,1.2,False,1,0.5009174158497707,0.08174893265790406,9.882256686728248e-06,2.809445682044553
19,140,1100,0.007,0.8,1.35,False,1,0.5010107880769812,0.08172199875494744,9.070928175268049e-06,2.8088337562054004
20,140,1100,0.007,0.8,1.5,False,1,0.5099437894055775,0.08104113132092036,6.6731448736188475e-06,2.7835846679294227
21,140,1100,0.007,1.0,0.8,False,1,0.4882150906985257,0.08279485859226796,1.277423902248924e-05,2.8369529416170773
22,140,1100,0.007,1.0,1.0,False,1,0.48850068528034535,0.08268106705352386,1.1043296258994553e-05,2.8354418409514297
23,140,1100,0.007,1.0,1.2,False,1,0.5012414437348897,0.08165531222570037,8.975575160850167e-06,2.8092905229469793
24,140,1100,0.007,1.0,1.35,False,1,0.5013332268505908,0.08162851673619184,8.181633385223915e-06,2.8087747898613684
25,140,1100,0.007,1.0,1.5,False,1,0.5097932929630719,0.08096502274110612,7.829008843994988e-06,2.7834259380737456
26,140,1100,0.007,1.2,0.8,False,1,0.4881592118619114,0.08276606827131466,1.3240339254116179e-05,2.8368714202185363
27,140,1100,0.007,1.2,1.0,False,1,0.48844342972732735,0.08265242599751352,1.1522767039719356e-05,2.8353605263582278
28,140,1100,0.007,1.2,1.2,False,1,0.5011617836361948,0.0816284843823724,9.689456933619297e-06,2.8092102415753013
29,140,1100,0.007,1.2,1.35,False,1,0.5012532961856216,0.08160170854755065,8.898337811416608e-06,2.8087539086963282
30,140,1100,0.007,1.2,1.5,False,1,0.5097190190729409,0.08093730593722608,8.515967325620714e-06,2.7833433288216725
31,140,1100,0.01,0.8,0.8,False,1,0.48869691716455205,0.08284108268284188,1.1993582867225146e-05,2.8359648370235844
32,140,1100,0.01,0.8,1.0,False,1,0.48853098101761727,0.0827462110544986,1.4023227556867124e-05,2.83465227458744
33,140,1100,0.01,0.8,1.2,False,1,0.5012881519983321,0.08171920494069726,9.86985641749199e-06,2.8084977700172535
34,140,1100,0.01,0.8,1.35,False,1,0.5013808233189495,0.08169249066361176,9.062649426000385e-06,2.8078866047697715
35,140,1100,0.01,0.8,1.5,False,1,0.510313274694681,0.08101175690799815,6.668841994384457e-06,2.782637847497731
36,140,1100,0.01,1.0,0.8,False,1,0.488588546308023,0.08276442999238871,1.2754608955368278e-05,2.8359980667937568
37,140,1100,0.01,1.0,1.0,False,1,0.48887255911917116,0.08265130794871925,1.1027240185397378e-05,2.8344927646302454
38,140,1100,0.01,1.0,1.2,False,1,0.501612730862699,0.08162590352171618,8.960710996315827e-06,2.808343296891859
39,140,1100,0.01,1.0,1.35,False,1,0.5017038247770069,0.08159932700847541,8.170782631203213e-06,2.807828324006547
40,140,1100,0.01,1.0,1.5,False,1,0.5101633631162208,0.0809359726957678,7.821883970350178e-06,2.7824798157985837
41,140,1100,0.01,1.2,0.8,False,1,0.48853284992501045,0.0827357962989553,1.3219680018873229e-05,2.835916554386838
42,140,1100,0.01,1.2,1.0,False,1,0.48881550332562734,0.08262282167684601,1.1505515849716711e-05,2.83441145763469
43,140,1100,0.01,1.2,1.2,False,1,0.5015333875957636,0.08159922395375553,9.672479898701756e-06,2.808263005587112
44,140,1100,0.01,1.2,1.35,False,1,0.5016241933790443,0.08157266971748729,8.88557448197486e-06,2.8078074327276608
45,140,1100,0.01,1.2,1.5,False,1,0.5100894097331934,0.08090840690202739,8.50655953000832e-06,2.782397197075261
46,140,800,0.007,1.0,1.35,True,101,0.4761995473093509,0.1569137207429413,0.00023779324434961455,2.8122584105858803
