run_id,coupling_AB,coupling_BC,coupling_AC,max_coupling,agents_per_civ,epochs_cap,num_shocks,cultural_diffusion_rate,assimilation_time,innovation_propagation_speed,avg_resilience_gain,diversity_stability,final_gci,final_polarization,final_network_diversity,final_global_CCI,max_gci,time_sec
NET_05_05_00,0.05,0.05,0.0,0.05,40,800,2,0.0025000000000000005,190,143,-0.0204339058704055,-0.052356176758040274,0.6223190160881209,0.0,0.0,0.6223190160881209,0.6631279875550732,1.6072559356689453
NET_05_05_05,0.05,0.05,0.05,0.05,40,800,2,0.0025000000000000005,160,137,-0.04813388179487066,-0.18170787727036863,0.6240184714576488,0.0,0.0,0.6240184714576488,0.6716265895415118,1.7472319602966309
NET_05_05_10,0.05,0.05,0.1,0.1,40,800,2,0.005000000000000001,144,130,-0.029559067759424296,-0.16680122553669596,0.6334695532407908,0.0,0.0,0.6334695532407908,0.6639217441021694,1.7698149681091309
NET_05_10_00,0.05,0.1,0.0,0.1,40,800,2,0.005000000000000001,160,133,-0.03425712259051639,-0.14020832972038133,0.612053139852126,0.0,0.0,0.612053139852126,0.6599341357549916,1.6221318244934082
NET_05_10_05,0.05,0.1,0.05,0.1,40,800,2,0.005000000000000001,170,143,-0.012470652796027104,-0.0854848973858835,0.6297365008206998,0.0,0.0,0.6297365008206998,0.6608339619273894,1.768082857131958
NET_05_10_10,0.05,0.1,0.1,0.1,40,800,2,0.005000000000000001,142,125,-0.020638863000103647,-0.23091217503157413,0.6417724635691592,0.0,0.0,0.6417724635691592,0.6703326695749667,1.7836449146270752
NET_05_20_00,0.05,0.2,0.0,0.2,40,800,2,0.010000000000000002,190,140,-0.0216225876864109,-0.11558357683313969,0.6439694467999851,0.0,0.0,0.6439694467999851,0.6662393851201321,1.6930639743804932
NET_05_20_05,0.05,0.2,0.05,0.2,40,800,2,0.010000000000000002,142,106,-0.025602063951944865,-0.1648350855670715,0.6434863387181686,0.0,0.0,0.6434863387181686,0.68308904038418,1.859112024307251
NET_05_20_10,0.05,0.2,0.1,0.2,40,800,2,0.010000000000000002,139,113,-0.04598716673456693,-0.25919127370213135,0.6418226398791779,0.0,0.0,0.6418226398791779,0.6872343539642821,1.8650450706481934
NET_10_05_00,0.1,0.05,0.0,0.1,40,800,2,0.005000000000000001,149,122,-0.018624368150719328,-0.3779959323133457,0.6445258280062968,0.0,0.0,0.6445258280062968,0.6759164437629209,1.6203293800354004
NET_10_05_05,0.1,0.05,0.05,0.1,40,800,2,0.005000000000000001,138,113,-0.028188189004048292,-0.2999930708777985,0.6205909728885971,0.0,0.0,0.6205909728885971,0.6810832354525808,1.7696161270141602
NET_10_05_10,0.1,0.05,0.1,0.1,40,800,2,0.005000000000000001,134,111,-0.02984231767231238,-0.2525908494633229,0.6169138724035583,0.0,0.0,0.6169138724035583,0.6829105061004327,1.8397440910339355
NET_10_10_00,0.1,0.1,0.0,0.1,40,800,2,0.005000000000000001,136,114,-0.03577058923629306,-0.2844054801673819,0.6300094762066696,0.0,0.0,0.6300094762066696,0.6800826377356962,1.6669423580169678
NET_10_10_05,0.1,0.1,0.05,0.1,40,800,2,0.005000000000000001,138,110,-0.030823824863499216,-0.2641161685597426,0.6248550969365733,0.0,0.0,0.6248550969365733,0.677266251902101,1.7869551181793213
NET_10_10_10,0.1,0.1,0.1,0.1,40,800,2,0.005000000000000001,135,114,-0.04389534862503952,-0.43386249399180277,0.6228654435448873,0.0,0.0,0.6228654435448873,0.6775052118283428,1.8075518608093262
NET_10_20_00,0.1,0.2,0.0,0.2,40,800,2,0.010000000000000002,148,99,-0.0033386690008783138,-0.3141850984673962,0.6387829082366735,0.0,0.0,0.6387829082366735,0.6712678829182428,1.72316312789917
NET_10_20_05,0.1,0.2,0.05,0.2,40,800,2,0.010000000000000002,131,96,-0.015293344431447808,-0.38730768728144227,0.6304185890010031,0.0,0.0,0.6304185890010031,0.678542296363366,1.8876259326934814
NET_10_20_10,0.1,0.2,0.1,0.2,40,800,2,0.010000000000000002,125,100,-0.01572378513037087,-0.35515455583072253,0.6259694291270814,0.0,0.0,0.6259694291270814,0.678212459638463,2.1474361419677734
NET_20_05_00,0.2,0.05,0.0,0.2,40,800,2,0.010000000000000002,100,52,-0.03002598802673717,-0.7418536978255348,0.6557624156378975,0.0,0.0,0.6557624156378975,0.6922354997495966,1.7200560569763184
NET_20_05_05,0.2,0.05,0.05,0.2,40,800,2,0.010000000000000002,98,44,-0.038220758461882554,-0.47498902124410547,0.6449258432348737,0.0,0.0,0.6449258432348737,0.6886782746944816,2.010619878768921
NET_20_05_10,0.2,0.05,0.1,0.2,40,800,2,0.010000000000000002,94,62,-0.03750742808501861,-0.523281970304633,0.6208356464195569,0.0,0.0,0.6208356464195569,0.6935273965713726,1.992643117904663
NET_20_10_00,0.2,0.1,0.0,0.2,40,800,2,0.010000000000000002,98,54,-0.017688271184358784,-0.6213833060620733,0.6490022610226718,0.0,0.0,0.6490022610226718,0.6832754119146115,1.8047471046447754
NET_20_10_05,0.2,0.1,0.05,0.2,40,800,2,0.010000000000000002,94,49,-0.01836133902565873,-0.6281030769896276,0.635327007265026,0.0,0.0,0.635327007265026,0.6938714422102965,1.8711330890655518
NET_20_10_10,0.2,0.1,0.1,0.2,40,800,2,0.010000000000000002,94,51,-0.02702864449364073,-0.539607466227316,0.6318699354152782,0.0,0.0,0.6318699354152782,0.6836244806324462,1.8935129642486572
NET_20_20_00,0.2,0.2,0.0,0.2,40,800,2,0.010000000000000002,87,52,-0.039575802681561134,-0.6039887673288185,0.6352563578064585,0.0,0.0,0.6352563578064585,0.6964953434668674,1.8208482265472412
