theta_a_deg,theta_b_deg,theta_diff_deg,correlation,correlation_std,n_trials
0.0,0.0,0.0,-0.9987445258485476,0.030185051805870937,100
0.0,5.0,-5.0,-0.9830851072872565,0.027220940409339464,100
0.0,10.0,-10.0,-0.9414756478621701,0.029717051919923233,100
0.0,15.0,-15.0,-0.8627755339139389,0.028071578832242226,100
0.0,20.0,-20.0,-0.7689098658620859,0.027959853232821238,100
0.0,25.0,-25.0,-0.6463570997966204,0.029928050577017522,100
0.0,30.0,-30.0,-0.49900884505972387,0.02598591157643549,100
0.0,35.0,-35.0,-0.34859954029287027,0.025596360380338346,100
0.0,40.0,-40.0,-0.17754232695259337,0.029801228413944683,100
0.0,45.0,-45.0,0.005302175140545797,0.02813314324129413,100
0.0,50.0,-50.0,0.17768691478182416,0.027674751501544543,100
0.0,55.0,-55.0,0.3443398605897003,0.030020328908606696,100
0.0,60.0,-60.0,0.4972646833053988,0.029410041709116968,100
0.0,65.0,-65.0,0.6440194010129875,0.026767385447173334,100
0.0,70.0,-70.0,0.7658117656185798,0.02953113192994781,100
0.0,75.0,-75.0,0.8651703372084463,0.028784004764943878,100
0.0,80.0,-80.0,0.9410848568731329,0.029112790901991543,100
0.0,85.0,-85.0,0.9873876803393351,0.02824138093999724,100
0.0,90.0,-90.0,1.001015924277509,0.028024174911696034,100
5.0,0.0,5.0,-0.9863052188442001,0.0303260214952137,100
5.0,5.0,0.0,-0.9981749706782951,0.02853943880142201,100
5.0,10.0,-5.0,-0.9882157212418347,0.02848823555540473,100
5.0,15.0,-10.0,-0.9375780376489725,0.0306936076794875,100
5.0,20.0,-15.0,-0.8643688269746735,0.028319985384966176,100
5.0,25.0,-20.0,-0.7644777398076132,0.03027790751922921,100
5.0,30.0,-25.0,-0.644239683080128,0.02882213730457596,100
5.0,35.0,-30.0,-0.5014218849267511,0.027361147963142676,100
5.0,40.0,-35.0,-0.3416875456000637,0.029817090482510224,100
5.0,45.0,-40.0,-0.17832932542591215,0.029134396244752066,100
5.0,50.0,-45.0,0.00011110546898761295,0.02703818821455985,100
5.0,55.0,-50.0,0.1690378611267352,0.028502171791134772,100
5.0,60.0,-55.0,0.34126137333724815,0.02848479518509831,100
5.0,65.0,-60.0,0.49916331327955565,0.030103388144473935,100
5.0,70.0,-65.0,0.6433136374255993,0.030306919168438418,100
5.0,75.0,-70.0,0.7627698899406493,0.028343132526677476,100
5.0,80.0,-75.0,0.8705635953846592,0.027323020489849914,100
5.0,85.0,-80.0,0.9387137873809392,0.026118141938196813,100
5.0,90.0,-85.0,0.9822342261593849,0.029963350721573804,100
10.0,0.0,10.0,-0.9474163193166082,0.02850477281284952,100
10.0,5.0,5.0,-0.982609720490601,0.029491920658632802,100
10.0,10.0,0.0,-0.9976476658374661,0.02714876584123915,100
10.0,15.0,-5.0,-0.990120987165828,0.0262746975509333,100
10.0,20.0,-10.0,-0.9421197472574682,0.02608633082149162,100
10.0,25.0,-15.0,-0.8657194418641445,0.028549908217034178,100
10.0,30.0,-20.0,-0.7684655898568238,0.0313454206923523,100
10.0,35.0,-25.0,-0.6458367379339349,0.030563713627021948,100
10.0,40.0,-30.0,-0.5026198014899345,0.028482547373304662,100
10.0,45.0,-35.0,-0.3439725869726139,0.028264280099183425,100
10.0,50.0,-40.0,-0.1752389092002875,0.030884964252251068,100
10.0,55.0,-45.0,-0.0009146017836172506,0.02871297736050346,100
10.0,60.0,-50.0,0.17002679546879076,0.03001717781614161,100
10.0,65.0,-55.0,0.3394505091227459,0.029749742325504938,100
10.0,70.0,-60.0,0.5039099795099657,0.030322447778221965,100
10.0,75.0,-65.0,0.6420225782513636,0.028598802590579297,100
10.0,80.0,-70.0,0.7645461872927397,0.029133698024363053,100
10.0,85.0,-75.0,0.8648482523325408,0.030131131902907064,100
10.0,90.0,-80.0,0.9388968384771781,0.02749624202124553,100
15.0,0.0,15.0,-0.8663874174259812,0.026758634876788773,100
15.0,5.0,10.0,-0.9392877503239982,0.02743209231799147,100
15.0,10.0,5.0,-0.9911899214167608,0.029848313525510158,100
15.0,15.0,0.0,-0.9982750218816385,0.02782234370898203,100
15.0,20.0,-5.0,-0.9822688077035694,0.029768561402319874,100
15.0,25.0,-10.0,-0.9350096094090925,0.029397250901514807,100
15.0,30.0,-15.0,-0.8635069345551214,0.028175154081024112,100
15.0,35.0,-20.0,-0.7621938008987069,0.02950605241455227,100
15.0,40.0,-25.0,-0.6428308275551502,0.028805499505183404,100
15.0,45.0,-30.0,-0.5002574704324464,0.027738236223849334,100
15.0,50.0,-35.0,-0.33999142656678694,0.02961327765041774,100
