theta_deg,theta_rad,delta_lambda_m,scattered_wavelength_m,incident_energy_j,scattered_energy_j,electron_recoil_energy_j,wavelength_shift_pm
0,0.0,0.0,7.1e-11,2.797811066406942e-15,2.797811066406942e-15,0.0,0.0
30,0.5235987755982988,3.2506393452124944e-13,7.132506393452124e-11,2.797811066406942e-15,2.7850600442118794e-15,1.2751022195062537e-17,0.32506393452124943
60,1.0471975511965976,1.2131551193415459e-12,7.221315511934154e-11,2.797811066406942e-15,2.7508088434386656e-15,4.700222296827628e-17,1.213155119341546
90,1.5707963267948966,2.4263102386830918e-12,7.34263102386831e-11,2.797811066406942e-15,2.7053597691232098e-15,9.245129728373212e-17,2.426310238683092
120,2.0943951023931953,3.639465358024638e-12,7.463946535802464e-11,2.797811066406942e-15,2.6613881109953074e-15,1.3642295541163454e-16,3.639465358024638
