domain,agents,epsilon,shock,seed,CCI,survival_rate,hazard,collapse_risk,preregistered
bio,150,0.002,0.2,201,0.40000697398514085,0.7498478743687849,0.32481870208708685,0.4615901395980567,True
bio,150,0.002,0.2,202,0.4016846598683842,0.7506814101362094,0.32354785488980753,0.440905798475334,True
bio,150,0.002,0.2,203,0.4015334226117454,0.7506415522607307,0.3248404550341717,0.46174833153487327,True
bio,150,0.002,0.2,204,0.3986065615124637,0.7492410200182553,0.3261032926087321,0.4562883215690293,True
bio,150,0.002,0.2,205,0.4007457337937824,0.7504969231616754,0.32350046195950016,0.44190170203211576,True
bio,150,0.002,0.2,206,0.4015181080450685,0.7509173208606048,0.32574512171821324,0.45551295342787046,True
bio,150,0.002,0.2,207,0.4005318638248783,0.7502954546389976,0.3243199644559278,0.44925667428202126,True
bio,150,0.002,0.2,208,0.40108829200769025,0.7508483171417615,0.32427985296226036,0.46652449494377696,True
bio,150,0.002,0.2,209,0.4004442696278888,0.7500433829183741,0.32572798228425826,0.46980147394560584,True
bio,150,0.002,0.2,210,0.39969478613497406,0.7500259528110772,0.322952076838096,0.4484817696050102,True
bio,150,0.002,0.3,201,0.39200697398514084,0.7416478743687849,0.3289187020870869,0.4630606135791521,True
bio,150,0.002,0.3,202,0.3936846598683842,0.7424814101362094,0.3276478548898075,0.44243610880329165,True
bio,150,0.002,0.3,203,0.3935334226117454,0.7424415522607306,0.3289404550341717,0.4632182133108779,True
bio,150,0.002,0.3,204,0.3906065615124637,0.7410410200182552,0.33020329260873216,0.45776883687037834,True
bio,150,0.002,0.3,205,0.39274573379378247,0.7422969231616754,0.3276004619595002,0.4434301215272416,True
bio,150,0.002,0.3,206,0.39351810804506854,0.742717320860605,0.32984512171821323,0.4569972783986244,True
bio,150,0.002,0.3,207,0.3925318638248783,0.7420954546389976,0.3284199644559277,0.4507641540494386,True
bio,150,0.002,0.3,208,0.39308829200769024,0.7426483171417615,0.3283798529622603,0.46798135250531514,True
bio,150,0.002,0.3,209,0.39244426962788886,0.7418433829183743,0.3298279822842582,0.4712406305612062,True
bio,150,0.002,0.3,210,0.39169478613497405,0.7418259528110772,0.327052076838096,0.44999752440703444,True
bio,150,0.002,0.4,201,0.3840069739851409,0.7334478743687849,0.33301870208708695,0.46450831222928857,True
bio,150,0.002,0.4,202,0.3856846598683842,0.7342814101362094,0.3317478548898075,0.4439441819312269,True
bio,150,0.002,0.4,203,0.3855334226117454,0.7342415522607307,0.33304045503417173,0.4646653190508161,True
bio,150,0.002,0.4,204,0.38260656151246375,0.7328410200182552,0.33430329260873215,0.4592268930198974,True
bio,150,0.002,0.4,205,0.38474573379378246,0.7340969231616755,0.3317004619595002,0.44493625315580754,True
bio,150,0.002,0.4,206,0.3855181080450686,0.734517320860605,0.33394512171821317,0.4584591182420717,True
bio,150,0.002,0.4,207,0.38453186382487836,0.7338954546389975,0.33251996445592774,0.45224916176544716,True
bio,150,0.002,0.4,208,0.38508829200769024,0.7344483171417614,0.33247985296226035,0.46941525644289517,True
bio,150,0.002,0.4,209,0.38444426962788886,0.7336433829183743,0.33392798228425824,0.4726569816473174,True
bio,150,0.002,0.4,210,0.38369478613497404,0.7336259528110772,0.33115207683809605,0.45149064740564276,True
bio,150,0.002,0.5,201,0.3760069739851409,0.725247874368785,0.33711870208708683,0.46593376061337505,True
bio,150,0.002,0.5,202,0.37768465986838423,0.7260814101362094,0.33584785488980756,0.4454304990617328,True
bio,150,0.002,0.5,203,0.37753342261174544,0.7260415522607306,0.3371404550341717,0.4660901740619153,True
bio,150,0.002,0.5,204,0.37460656151246374,0.7246410200182551,0.33840329260873214,0.4606629972224463,True
bio,150,0.002,0.5,205,0.3767457337937825,0.7258969231616754,0.3358004619595002,0.44642058090144193,True
bio,150,0.002,0.5,206,0.3775181080450686,0.726317320860605,0.33804512171821316,0.4598989800375702,True
bio,150,0.002,0.5,207,0.3765318638248784,0.7256954546389977,0.33661996445592773,0.45371219619989256,True
bio,150,0.002,0.5,208,0.37708829200769023,0.7262483171417615,0.33657985296226034,0.47082674498765403,True
bio,150,0.002,0.5,209,0.3764442696278889,0.7254433829183743,0.3380279822842582,0.4740510650228483,True
bio,150,0.002,0.5,210,0.37569478613497415,0.7254259528110772,0.33525207683809605,0.4529616417195101,True
bio,150,0.0025,0.2,201,0.40834030592958553,0.7531812071465629,0.32315203569819795,0.46098575151039795,True
bio,150,0.0025,0.2,202,0.4100179918128289,0.7540147429139873,0.3218811885009185,0.4402772510270134,True
bio,150,0.0025,0.2,203,0.4098667545561901,0.7539748850385085,0.3231737886452828,0.4611441839208848,True
bio,150,0.0025,0.2,204,0.4069398934569084,0.752574352796033,0.3244366262198432,0.45567994630344866,True
bio,150,0.0025,0.2,205,0.4090790657382271,0.7538302559394533,0.3218337955706113,0.4412739080667926,True
bio,150,0.0025,0.2,206,0.40985143998951323,0.7542506536383828,0.3240784553293242,0.4549030221246576,True
bio,150,0.0025,0.2,207,0.40886519576932306,0.7536287874167754,0.3226532980670388,0.44863733620385615,True
bio,150,0.0025,0.2,208,0.40942162395213494,0.7541816499195393,0.32261318657337135,0.4659255878568605,True
bio,150,0.0025,0.2,209,0.40877760157233356,0.7533767156961522,0.3240613158953693,0.4692098047777173,True
bio,150,0.0025,0.2,210,0.40802811807941874,0.7533592855888551,0.32128541044920705,0.4478590209951868,True
bio,150,0.0025,0.3,201,0.4003403059295855,0.7449812071465628,0.32725203569819794,0.4624656376536335,True
