agents,epsilon,shock,seed,CCI,survival_rate,hazard,collapse_risk,preregistered,sha256_data,CCI_mean,CCI_ci_lo,CCI_ci_hi,cci_ci,survival_rate_mean,survival_rate_ci_lo,survival_rate_ci_hi,survival_ci
300,0.008,0.05,201,0.7146041810577517,0.9533379779608405,0.27317659458246735,0.6185763865606239,True,f86ca7b8caca6ef9258a24c6006e6bf5b8b025704c08c8d2ca3a9c02e0e1e5d3,0.7149092788792492,0.7143009011618072,0.7154436760463556,1,0.9535647323580267,0.9533139267507609,0.953814747251734,1
300,0.008,0.05,202,0.7156107925876977,0.9537705658670637,0.2724478530412156,0.5973059546324037,True,112ed06b645b426212efc4cfb21b84a9bb98827e75d925aaf339f8d8d8a4d02d,0.7149092788792492,0.7143009011618072,0.7154436760463556,1,0.9535647323580267,0.9533139267507609,0.953814747251734,1
300,0.008,0.05,203,0.7155200502337145,0.9537917950451824,0.273200841176131,0.6176443160762163,True,7c6feb0888ae62e5a7309d13050fb3a864588c5aef9b37595a5aedb06c05a1fd,0.7149092788792492,0.7143009011618072,0.7154436760463556,1,0.9535647323580267,0.9533139267507609,0.953814747251734,1
300,0.008,0.05,204,0.7137639335741455,0.9530635327664274,0.2739025151875021,0.605340197807544,True,1edd58cf38148cd37ed8ce899cd07560ee9ff5394ca60e5a2baa3fe459ed1a5e,0.7149092788792492,0.7143009011618072,0.7154436760463556,1,0.9535647323580267,0.9533139267507609,0.953814747251734,1
300,0.008,0.05,205,0.7150474369429367,0.9538597901506204,0.27231945904889254,0.6005524447321213,True,bb31a92740c1f3a8537fc782e55c9da5a9c8aee3734d1906e9058fa1966c64e1,0.7149092788792492,0.7143009011618072,0.7154436760463556,1,0.9535647323580267,0.9533139267507609,0.953814747251734,1
300,0.008,0.1,201,0.7096041810577517,0.9471724018371424,0.2762593826443164,0.6199486069140774,True,c0d28381c5b9f24afb42471d19142974d873f714802a983c0058c8bc617c16af,0.7099092788792492,0.7093009011618071,0.7104436760463555,1,0.9473872610829688,0.9471448395793558,0.9476289683277448,1
300,0.008,0.1,202,0.7106107925876977,0.9475923453665358,0.2755369632914794,0.5987819132162979,True,382f338bb621a17c90401f05ee5ea105c75498abdd52d70e77226c4bf351be28,0.7099092788792492,0.7093009011618071,0.7104436760463555,1,0.9473872610829688,0.9471448395793558,0.9476289683277448,1
300,0.008,0.1,203,0.7105200502337145,0.9476051076430686,0.27629418487718793,0.6190367559729971,True,1e4df2737c74314f8916e7ce40cf1e4692d44665845b0c12b91ffc4b894eed5a,0.7099092788792492,0.7093009011618071,0.7104436760463555,1,0.9473872610829688,0.9471448395793558,0.9476289683277448,1
300,0.008,0.1,204,0.7087639335741455,0.9468953100750712,0.27698662653318024,0.6067690459765163,True,fa8d508c27dd0136bd0ac8153316badd62395ce355669ca34c690e5173d19392,0.7099092788792492,0.7093009011618071,0.7104436760463555,1,0.9473872610829688,0.9471448395793558,0.9476289683277448,1
300,0.008,0.1,205,0.7100474369429367,0.9476711404930256,0.2754137838776899,0.6020239981423392,True,04f14b5d1795fbeff409edf3b79f5416af23c97e73cf6c5d778d6d32631592b5,0.7099092788792492,0.7093009011618071,0.7104436760463555,1,0.9473872610829688,0.9471448395793558,0.9476289683277448,1
300,0.01,0.05,201,0.7896041810577517,0.9711943078866356,0.26424842961956974,0.6148277516452103,True,646ea8a1af80c6ef0ccb333b3c8bb5c7d55a4703a992f5cc22ef18c4d0fc2614,0.7899092788792492,0.7893009011618072,0.7904436760463556,1,0.9714362224368372,0.971187861839729,0.9716839659448826,1
300,0.01,0.05,202,0.7906107925876977,0.9716210955415595,0.26352258820396757,0.5932508793540309,True,8eb64d50e1409aebb40b35fcf788ad63078264a93a7b171a486f575b6c4a4f16,0.7899092788792492,0.7893009011618072,0.7904436760463556,1,0.9714362224368372,0.971187861839729,0.9716839659448826,1
300,0.01,0.05,203,0.7905200502337144,0.971673723140339,0.2642598771285527,0.6138617196700351,True,458e099288fe288ff7d5d16431f0507017b689dc6fd697eb6f7d77d2c3f7da7c,0.7899092788792492,0.7893009011618072,0.7904436760463556,1,0.9714362224368372,0.971187861839729,0.9716839659448826,1
300,0.01,0.05,204,0.7887639335741453,0.9709663416645643,0.26495111073843375,0.6013742462498539,True,d7680bfe7df379b538dbe60ef66c22f99c464ba4838deb74525ca8b8bb921918,0.7899092788792492,0.7893009011618072,0.7904436760463556,1,0.9714362224368372,0.971187861839729,0.9716839659448826,1
300,0.01,0.05,205,0.7900474369429367,0.9717256439510877,0.26338653214865887,0.5965263150972118,True,974875bb831ab02c66a133958aa8adcf141272dde52f0ebfa26dba2dcdd850ea,0.7899092788792492,0.7893009011618072,0.7904436760463556,1,0.9714362224368372,0.971187861839729,0.9716839659448826,1
300,0.01,0.1,201,0.7846041810577516,0.9654184702420621,0.2671363484418565,0.6159603265011465,True,8aaa95a68a172a299f43964a5131bde884ec4d22f844b523ccb4f9a465b471e8,0.7849092788792491,0.7843009011618072,0.7854436760463556,1,0.9656581419826284,0.9654033341618387,0.9659122567060525,1
300,0.01,0.1,202,0.7856107925876977,0.9658487867550998,0.2664087425971974,0.5944917294411223,True,0da77964be044c765c0ea0f58d7ac88d22099350236616f7d3b7b35829aa6bb5,0.7849092788792491,0.7843009011618072,0.7854436760463556,1,0.9656581419826284,0.9654033341618387,0.9659122567060525,1
