pattern_type,energy_density,total_energy,shannon_entropy,max_entropy,information_content,energy_per_bit,landauer_ratio,order_parameter,field_size
random,2.0184569972901074,8267.59986090028,11.80286850817306,12.0,0.19713149182694067,41939.51856336736,1.4614960253294859e+25,0.01642762431891172,64
ordered,0.5001220703125,2048.5,11.921539510078652,12.0,0.07846048992134769,26108.68224317116,9.09827690733545e+24,0.0065383741601123075,64
spiral,0.34912483936824235,1430.0153420523206,11.883279824065749,12.0,0.1167201759342511,12251.655128226104,4.269420796177207e+24,0.009726681327854259,64
gradient,0.6878306878306877,2817.3544973544967,11.887410242088162,12.0,0.112589757911838,25023.18638575092,8.720006499024897e+24,0.0093824798259865,64
