iteration,field_intensity,detector_angle,optimal_angle,agent_efficiency,system_entropy,guardian_score,entropy_change
0,0.5666988056353468,45.12906540533137,45.0,0.9871763916883581,0.9862401390171573,0.4985432757755525,-0.01375986098284267
1,0.6324633523187856,49.76416936382383,46.25581039058627,0.7040992889532108,0.9739437383080897,0.49714495730770875,-0.012296400709067698
2,0.5378521545377398,41.819366217660956,47.50666467128609,0.5662441998303788,0.9616705586968316,0.4958049185963659,-0.012273179611258084
3,0.7876631936361465,47.01033133660517,48.74762629171449,0.8405242324875576,0.9566160171864417,0.49449668185568474,-0.005054541510389818
4,0.6767532542654452,50.27551241414954,49.9737977432971,0.9702791483466829,0.9416959756942412,0.49325639110151825,-0.014920041492200456
5,0.5753413880289573,53.38902174940998,51.180339887498945,0.8018223645846522,0.9393221363156288,0.49203730800721934,-0.0023738393786125155
6,0.5215573550028115,47.66864789809292,52.36249105369356,0.6253871909374925,0.9320590617940969,0.4908574852165704,-0.007263074521531837
7,0.8356911005681492,56.20639566037397,53.51558583130145,0.764081375611446,0.9284788413868438,0.4897028766500898,-0.0035802204072531924
8,0.777409007713557,49.87252582701935,54.63507348203431,0.6211052259048302,0.9215864553462023,0.4885857773253643,-0.006892386040641484
9,0.8981729365954232,56.58470412253083,55.71653589957993,0.9168450258197375,0.9063017312169692,0.48753806796968807,-0.015284724129233089
10,0.9268489530003212,59.04425994476277,56.75570504584947,0.79544347482279,0.9019916756831986,0.4865174140415012,-0.004310055533770606
11,0.9915296483095883,55.00953975584872,57.74847979497379,0.7604126717574364,0.8909904576073667,0.48554960746258113,-0.011001218075831886
12,0.5487849868264731,59.425744593108845,58.69094211857377,0.9291544987776956,0.8847298900718575,0.4846159552200072,-0.0062605675355092245
13,0.7971541295231811,59.64648383532897,59.57937254842823,0.993311340641117,0.8794765011341745,0.4837122966834633,-0.005253388937682987
14,0.8367484412356834,62.46836306004243,60.410264855515784,0.8139878654073712,0.8709800028562901,0.48285131489479166,-0.008496498277884418
15,0.7807731973334244,66.38476975244834,61.180339887498945,0.5942572417213418,0.8645672567657989,0.48202452283889097,-0.006412746090491095
16,0.7293637204117587,59.12661568566844,61.8865585100403,0.75881726933424,0.8563735963327282,0.48123892214488717,-0.008193660433070661
17,0.7723125135536035,65.08682057460919,62.52613360087727,0.7740887890991883,0.8492904007750707,0.48048985708586445,-0.0070831955576576055
18,0.6979922604110884,54.93460964623931,63.09654104932039,0.4421115114797399,0.8479648560240248,0.47975367236679534,-0.0013255447510458489
19,0.6061067537218154,62.78879778374002,63.595529717765025,0.9224951196788299,0.8447019264806407,0.4790381471043308,-0.003262929543384175
20,0.701409230885531,59.953049088550635,64.02113032590307,0.6657719238765417,0.8415623253924891,0.47834261312157483,-0.0031396010881515656
21,0.6177118883169547,61.95886582930738,64.37166322257262,0.7856218263258189,0.8399291595304361,0.4776607275077002,-0.0016331658620529887
22,0.678123377510724,80.58325844740548,64.64574501457378,0.20316204984718592,0.8324947152586564,0.4770162670538294,-0.0074344442717798
23,0.5756298962947333,67.0314424284713,64.84229402628955,0.8033901317688832,0.8310997520558584,0.4763840194195499,-0.001394963202797958
24,0.512485466984726,72.9260877044003,64.96053456856544,0.45087943039839623,0.8274450462873745,0.47577324479206756,-0.0036547057684839027
25,0.4290746097840157,64.3348770446905,65.0,0.9356514114547166,0.8180017474753757,0.4752079823109281,-0.009443298811998742
26,0.45229073859259866,62.140336430809974,64.96053456856544,0.7542587396716608,0.8095639821029671,0.47468389719646126,-0.008437765372408566
27,0.5264989166620065,69.44727320505966,64.84229402628955,0.630969396335996,0.812919737310331,0.47415088859719307,0.003355755207363865
28,0.3100263123057265,59.58806903090814,64.64574501457378,0.6030425032825785,0.8176432120054179,0.4736033530966905,0.004723474695086926
29,0.39798790615012125,66.57742075793962,64.37166322257262,0.8020568779150942,0.8055354465919381,0.47311238125557836,-0.012107765413479816
30,0.36745367229215764,64.51974671537411,64.02113032590307,0.9513610467109175,0.7963488664674493,0.4726654964092946,-0.009186580124488818
31,0.41707893536405966,59.747534472946406,63.59552971776503,0.6805870635731643,0.7905035942273508,0.4722481962876285,-0.005845272240098464
32,0.09652072099253275,65.40283706233559,63.09654104932039,0.7940335205557384,0.7771364251274083,0.47189305976364065,-0.013367169099942507
33,0.4290394458149168,55.86181613408274,62.52613360087727,0.5135377451438177,0.7801880037816825,0.4715281676207563,0.003051578654274148
34,0.1462580164325315,53.896012957512475,61.8865585100403,0.449753980709312,0.7768230226735311,0.4711816003347198,-0.0033649811081514287
35,0.23807284417339453,56.44422765387767,61.180339887498945,0.6227493158956255,0.764287648476045,0.47089360687019965,-0.012535374197486078
36,-0.03367275276246978,58.74389492546597,60.410264855515784,0.8465068434756199,0.7575401638560549,0.4706384439468616,-0.006747484619990061
37,-0.002194100115659736,60.236454073760754,59.579372548428225,0.9364041115842316,0.7561922932951245,0.4703918398099904,-0.0013478705609304958
38,0.024160617211653523,61.523461744389074,58.69094211857377,0.7533299529853809,0.7514029341360464,0.4701691124350163,-0.0047893591590780675
39,0.1438003267911882,59.366207989429064,57.7484797949738,0.8506344301923516,0.7373806225105889,0.47001189161481527,-0.014022311625457555
