detector_idx,distance_m,arrival_time_s,position_idx
0,0.8200000000000001,1.8043251754760137e-09,82
1,1.23,3.162875895834424e-09,123
2,1.6400000000000001,4.542653971198434e-09,164
3,2.05,5.901204691556844e-09,205
4,2.46,7.259755411915255e-09,246
5,2.87,8.639533487279266e-09,287
6,3.2800000000000002,9.998084207637676e-09,328
7,3.69,1.1356634927996086e-08,369
8,4.1,1.2736413003360095e-08,410
9,4.51,1.4158645788735306e-08,451
