theta_a_deg,theta_b_deg,theta_diff_deg,correlation,correlation_std,n_trials
0.0,0.0,0.0,-1.001445675333956,0.027350290728596214,100
0.0,5.0,-5.0,-0.9867476015572414,0.028422173172376674,100
0.0,10.0,-10.0,-0.9447645860459045,0.029227692877557526,100
0.0,15.0,-15.0,-0.8690480204532123,0.028944694198915197,100
0.0,20.0,-20.0,-0.7678438609098941,0.02801948591603257,100
0.0,25.0,-25.0,-0.6432200122166606,0.02808234161730394,100
0.0,30.0,-30.0,-0.4996271696287748,0.026685256539391758,100
0.0,35.0,-35.0,-0.34717844923596786,0.028403680639720406,100
0.0,40.0,-40.0,-0.1710820479552625,0.028552241322833936,100
0.0,45.0,-45.0,0.0027326156485489106,0.02963251030626507,100
0.0,50.0,-50.0,0.1686439015587327,0.030131054358199877,100
0.0,55.0,-55.0,0.344597819259514,0.02824994151895299,100
0.0,60.0,-60.0,0.4985144297251027,0.027414691750329512,100
0.0,65.0,-65.0,0.6413776326481578,0.0274387279256613,100
0.0,70.0,-70.0,0.7664103079687696,0.026780047242908323,100
0.0,75.0,-75.0,0.8691230486512046,0.030294975643953878,100
0.0,80.0,-80.0,0.9315794776853071,0.028396257481057605,100
0.0,85.0,-85.0,0.986113121149278,0.02551958881796292,100
0.0,90.0,-90.0,1.0002097111524817,0.028901581231226412,100
5.0,0.0,5.0,-0.9868188390294519,0.025637128558992788,100
5.0,5.0,0.0,-1.0038082873248748,0.027943115634684212,100
5.0,10.0,-5.0,-0.9824870319560951,0.029378460367936305,100
5.0,15.0,-10.0,-0.9408608511097784,0.02958128618484199,100
5.0,20.0,-15.0,-0.867274976946512,0.02617708264243246,100
5.0,25.0,-20.0,-0.7700499526316826,0.029435356936060277,100
5.0,30.0,-25.0,-0.6436269223537293,0.030352720307263614,100
5.0,35.0,-30.0,-0.500081875545437,0.02900598260284582,100
5.0,40.0,-35.0,-0.34505352602521033,0.026436746310734234,100
5.0,45.0,-40.0,-0.17426715159601533,0.0306977801079498,100
5.0,50.0,-45.0,0.0011844018362559493,0.03017976809785974,100
5.0,55.0,-50.0,0.17669688462818958,0.02832831910344254,100
5.0,60.0,-55.0,0.3351511697021488,0.027366309139463505,100
5.0,65.0,-60.0,0.499058102032798,0.02838499847864486,100
5.0,70.0,-65.0,0.6436752700969842,0.028854215372508017,100
5.0,75.0,-70.0,0.7699872667817677,0.02914029288671761,100
5.0,80.0,-75.0,0.8677739172626587,0.028974352821665193,100
5.0,85.0,-80.0,0.9393988406913273,0.029462241578945756,100
5.0,90.0,-85.0,0.9859406640931302,0.02845998278528104,100
10.0,0.0,10.0,-0.9405170310597072,0.02587690911172335,100
10.0,5.0,5.0,-0.9838105822350345,0.030312898643766163,100
10.0,10.0,0.0,-1.0004209594427553,0.028962078927613457,100
10.0,15.0,-5.0,-0.9912694903182563,0.02886921078597863,100
10.0,20.0,-10.0,-0.9412253282353045,0.03118868893226153,100
10.0,25.0,-15.0,-0.8672629835052902,0.030471446720928913,100
10.0,30.0,-20.0,-0.7654643483004732,0.029136773084272823,100
10.0,35.0,-25.0,-0.644687519206003,0.026753298899435746,100
10.0,40.0,-30.0,-0.5029699507929751,0.02755737343039846,100
10.0,45.0,-35.0,-0.3463049442550129,0.02827454706607828,100
10.0,50.0,-40.0,-0.17476779930718536,0.02980867793611457,100
10.0,55.0,-45.0,0.001513785673258656,0.02670621719112276,100
10.0,60.0,-50.0,0.1738042057608999,0.02906127991555659,100
10.0,65.0,-55.0,0.34580989437543075,0.030298952313219708,100
10.0,70.0,-60.0,0.4982060010977554,0.028216910849862796,100
10.0,75.0,-65.0,0.6428151446476119,0.028640737421105213,100
10.0,80.0,-70.0,0.7693149973905433,0.027707490451729065,100
10.0,85.0,-75.0,0.8594830207320776,0.0314522444847093,100
10.0,90.0,-80.0,0.9373882907426474,0.027907447559148413,100
15.0,0.0,15.0,-0.8665110957899733,0.02850775821655399,100
15.0,5.0,10.0,-0.9373660613719514,0.029915110033375047,100
15.0,10.0,5.0,-0.9891637186022195,0.029545712999297664,100
15.0,15.0,0.0,-1.001098915602872,0.02856637165492339,100
15.0,20.0,-5.0,-0.9868190502513445,0.030122370049371468,100
15.0,25.0,-10.0,-0.9377748189868398,0.027833614628464433,100
15.0,30.0,-15.0,-0.8645580749573625,0.027870059184196657,100
15.0,35.0,-20.0,-0.7599088025256157,0.027394326653595234,100
15.0,40.0,-25.0,-0.6430583062815348,0.028973854523528405,100
15.0,45.0,-30.0,-0.5016643324451089,0.027975684451007798,100
15.0,50.0,-35.0,-0.3417148962439406,0.027298263821996897,100
15.0,55.0,-40.0,-0.17476789653691246,0.027712499628693297,100
15.0,60.0,-45.0,0.00412029716183226,0.030103831435614375,100
15.0,65.0,-50.0,0.16739256690252854,0.029168797124283528,100
15.0,70.0,-55.0,0.3434790425579372,0.028593356389592043,100
15.0,75.0,-60.0,0.5051916617408007,0.028826304968327325,100
15.0,80.0,-65.0,0.6415538109506181,0.02910083578630578,100
15.0,85.0,-70.0,0.7613605352547422,0.02872924547802254,100
15.0,90.0,-75.0,0.8673631456590677,0.028617611908042188,100
20.0,0.0,20.0,-0.7662090968834785,0.02943990978655385,100
20.0,5.0,15.0,-0.8611717441209383,0.027633710434864962,100
20.0,10.0,10.0,-0.9404192301332017,0.0282147049197709,100
20.0,15.0,5.0,-0.9856985632777939,0.029078308439655618,100
20.0,20.0,0.0,-1.0025275689622122,0.031242600349050867,100
20.0,25.0,-5.0,-0.9900483674379071,0.026698810348505214,100
20.0,30.0,-10.0,-0.9396207006247057,0.027675860818204258,100
20.0,35.0,-15.0,-0.8665791906147117,0.02784476634488953,100
20.0,40.0,-20.0,-0.759468452681544,0.028955590759375663,100
20.0,45.0,-25.0,-0.6464010220750553,0.029065398990999334,100
20.0,50.0,-30.0,-0.5016159888644555,0.029383695554979567,100
20.0,55.0,-35.0,-0.34347662883681074,0.029241463301295643,100
20.0,60.0,-40.0,-0.1711944576489411,0.029587616856853707,100
20.0,65.0,-45.0,0.006268674434211136,0.0294731962500385,100
20.0,70.0,-50.0,0.17172231720613257,0.030304416468640197,100
20.0,75.0,-55.0,0.3420962567087975,0.027382571549395683,100
20.0,80.0,-60.0,0.49986467048324096,0.030678074676141066,100
20.0,85.0,-65.0,0.6402667035209287,0.029352848444790507,100
20.0,90.0,-70.0,0.7658972613780435,0.029100733431558595,100
25.0,0.0,25.0,-0.6473513510856037,0.0299991581542251,100
25.0,5.0,20.0,-0.7647051129458967,0.02724287736774445,100
25.0,10.0,15.0,-0.8632244939164043,0.02784076693156398,100
25.0,15.0,10.0,-0.9402340425863318,0.02940747115253272,100
25.0,20.0,5.0,-0.9856143299507952,0.029852734235964608,100
25.0,25.0,0.0,-1.0010452274438912,0.027865153603131212,100
25.0,30.0,-5.0,-0.9805888901629645,0.02851411907681635,100
25.0,35.0,-10.0,-0.943644597946264,0.0259682741469072,100
25.0,40.0,-15.0,-0.8645732547482922,0.02755084927696877,100
25.0,45.0,-20.0,-0.7620996306067923,0.027459481988297958,100
25.0,50.0,-25.0,-0.6512913259062492,0.02472277028957234,100
25.0,55.0,-30.0,-0.4956832667633131,0.028944244948663846,100
25.0,60.0,-35.0,-0.342485984966596,0.02995091496390314,100
25.0,65.0,-40.0,-0.17465551402737645,0.028080038629137136,100
25.0,70.0,-45.0,0.005139771478793298,0.02779733737230613,100
25.0,75.0,-50.0,0.17736353420947507,0.029663814628526092,100
25.0,80.0,-55.0,0.34029562184225987,0.02869958153033712,100
25.0,85.0,-60.0,0.4954851684969562,0.028021495351899624,100
25.0,90.0,-65.0,0.6463637731077724,0.028916367102518704,100
30.0,0.0,30.0,-0.4978491493932357,0.027077815545208595,100
30.0,5.0,25.0,-0.6494194872675275,0.028832948684230753,100
