domain,agents,epsilon,shock,seed,CCI,survival_rate,hazard,collapse_risk,preregistered,CCI_mean,CCI_ci_lo,CCI_ci_hi,CCI_ci,survival_rate_mean,survival_rate_ci_lo,survival_rate_ci_hi,survival_ci
bio,3500,0.006,0.001,1301,0.483669899126715,0.7936628221964263,0.30292426486630714,0.4226116721661367,True,0.4836109589017826,0.4834722272001806,0.4837277719647363,1,0.7933029098233645,0.7931501976943959,0.7934635753949505,1
bio,3500,0.006,0.001,1302,0.48384465419071665,0.7929209543760418,0.30410808198484446,0.43789780548591806,True,0.4836109589017826,0.4834722272001806,0.4837277719647363,1,0.7933029098233645,0.7931501976943959,0.7934635753949505,1
bio,3500,0.006,0.001,1303,0.48323147569630853,0.7934533778913505,0.30303343308173714,0.43406438364414046,True,0.4836109589017826,0.4834722272001806,0.4837277719647363,1,0.7933029098233645,0.7931501976943959,0.7934635753949505,1
bio,3500,0.006,0.001,1304,0.48369780659338996,0.7931744848296398,0.302884847568278,0.4280369237777242,True,0.4836109589017826,0.4834722272001806,0.4837277719647363,1,0.7933029098233645,0.7931501976943959,0.7934635753949505,1
bio,3500,0.006,0.003,1301,0.483509899126715,0.7934988221964262,0.30300626486630716,0.4226452272483865,True,0.4834509589017825,0.4833122272001807,0.4835677719647364,1,0.7931389098233645,0.7929861976943959,0.7932995753949506,1
bio,3500,0.006,0.003,1302,0.4836846541907166,0.7927569543760418,0.3041900819848445,0.43793073095567325,True,0.4834509589017825,0.4833122272001807,0.4835677719647364,1,0.7931389098233645,0.7929861976943959,0.7932995753949506,1
bio,3500,0.006,0.003,1303,0.48307147569630854,0.7932893778913505,0.30311543308173705,0.43409757519970954,True,0.4834509589017825,0.4833122272001807,0.4835677719647364,1,0.7931389098233645,0.7929861976943959,0.7932995753949506,1
bio,3500,0.006,0.003,1304,0.48353780659338996,0.7930104848296398,0.302966847568278,0.4280703343669029,True,0.4834509589017825,0.4833122272001807,0.4835677719647364,1,0.7931389098233645,0.7929861976943959,0.7932995753949506,1
bio,3500,0.006,0.005,1301,0.483349899126715,0.7933348221964263,0.30308826486630713,0.4226787724288316,True,0.48329095890178264,0.4831522272001807,0.48340777196473633,1,0.7929749098233647,0.7928221976943959,0.7931355753949506,1
bio,3500,0.006,0.005,1302,0.48352465419071666,0.7925929543760418,0.3042720819848444,0.43796364620471107,True,0.48329095890178264,0.4831522272001807,0.48340777196473633,1,0.7929749098233647,0.7928221976943959,0.7931355753949506,1
bio,3500,0.006,0.005,1303,0.4829114756963086,0.7931253778913505,0.3031974330817371,0.43413075655307043,True,0.48329095890178264,0.4831522272001807,0.48340777196473633,1,0.7929749098233647,0.7928221976943959,0.7931355753949506,1
bio,3500,0.006,0.005,1304,0.48337780659339,0.7928464848296398,0.30304884756827793,0.4281037348994586,True,0.48329095890178264,0.4831522272001807,0.48340777196473633,1,0.7929749098233647,0.7928221976943959,0.7931355753949506,1
bio,3500,0.00615,0.001,1301,0.4861698987100484,0.7946628220297594,0.3024242649496405,0.42240685351972623,True,0.48611095848511593,0.48597222678351404,0.4862277715480697,1,0.7943029096566979,0.7941501975277291,0.7944635752282837,1
bio,3500,0.00615,0.001,1302,0.48634465377405006,0.7939209542093751,0.30360808206817774,0.43769681901651236,True,0.48611095848511593,0.48597222678351404,0.4862277715480697,1,0.7943029096566979,0.7941501975277291,0.7944635752282837,1
bio,3500,0.00615,0.001,1303,0.485731475279642,0.7944533777246837,0.3025334331650704,0.4338617751042849,True,0.48611095848511593,0.48597222678351404,0.4862277715480697,1,0.7943029096566979,0.7941501975277291,0.7944635752282837,1
bio,3500,0.00615,0.001,1304,0.4861978061767234,0.7941744846629732,0.30238484765161133,0.4278329828271602,True,0.48611095848511593,0.48597222678351404,0.4862277715480697,1,0.7943029096566979,0.7941501975277291,0.7944635752282837,1
bio,3500,0.00615,0.003,1301,0.48600989871004835,0.7944988220297596,0.30250626494964045,0.42244046907380295,True,0.4859509584851159,0.48581222678351405,0.48606777154806974,1,0.7941389096566981,0.7939861975277289,0.7942995752282839,1
bio,3500,0.00615,0.003,1302,0.48618465377405,0.7937569542093752,0.30369008206817777,0.4377298069108426,True,0.4859509584851159,0.48581222678351405,0.48606777154806974,1,0.7941389096566981,0.7939861975277289,0.7942995752282839,1
bio,3500,0.00615,0.003,1303,0.485571475279642,0.7942893777246839,0.3026154331650704,0.43389502897036897,True,0.4859509584851159,0.48581222678351405,0.48606777154806974,1,0.7941389096566981,0.7939861975277289,0.7942995752282839,1
bio,3500,0.00615,0.003,1304,0.4860378061767233,0.7940104846629731,0.30246684765161136,0.4278664548355977,True,0.4859509584851159,0.48581222678351405,0.48606777154806974,1,0.7941389096566981,0.7939861975277289,0.7942995752282839,1
bio,3500,0.00615,0.005,1301,0.48584989871004836,0.7943348220297596,0.3025882649496404,0.42247407469929776,True,0.48579095848511594,0.48565222678351416,0.4859077715480698,1,0.793974909656698,0.7938221975277291,0.7941355752282839,1
bio,3500,0.00615,0.005,1302,0.4860246537740501,0.7935929542093751,0.3037720820681778,0.4377627845553773,True,0.48579095848511594,0.48565222678351416,0.4859077715480698,1,0.793974909656698,0.7938221975277291,0.7941355752282839,1
bio,3500,0.00615,0.005,1303,0.485411475279642,0.794125377724684,0.30269743316507036,0.4339282726055046,True,0.48579095848511594,0.48565222678351416,0.4859077715480698,1,0.793974909656698,0.7938221975277291,0.7941355752282839,1
bio,3500,0.00615,0.005,1304,0.4858778061767234,0.7938464846629733,0.3025488476516114,0.42789991675967104,True,0.48579095848511594,0.48565222678351416,0.4859077715480698,1,0.793974909656698,0.7938221975277291,0.7941355752282839,1
bio,3500,0.0063,0.001,1301,0.48866989829338175,0.7956628218630928,0.3019242650329737,0.42220166556237365,True,0.48861095806844945,0.4884722263668475,0.48872777113140314,1,0.7953029094900312,0.7951501973610626,0.7954635750616172,1
bio,3500,0.0063,0.001,1302,0.4888446533573835,0.7949209540427085,0.303108082151511,0.43749545127923883,True,0.48861095806844945,0.4884722263668475,0.48872777113140314,1,0.7953029094900312,0.7951501973610626,0.7954635750616172,1
bio,3500,0.0063,0.001,1303,0.48823147486297547,0.7954533775580171,0.30203343324840376,0.43365878599938906,True,0.48861095806844945,0.4884722263668475,0.48872777113140314,1,0.7953029094900312,0.7951501973610626,0.7954635750616172,1
bio,3500,0.0063,0.001,1304,0.48869780576005684,0.7951744844963065,0.3018848477349446,0.4276286667677082,True,0.48861095806844945,0.4884722263668475,0.48872777113140314,1,0.7953029094900312,0.7951501973610626,0.7954635750616172,1
bio,3500,0.0063,0.003,1301,0.4885098982933818,0.7954988218630928,0.3020062650329738,0.42223534175189503,True,0.48845095806844935,0.4883122263668475,0.4885677711314031,1,0.7951389094900311,0.7949861973610625,0.7952995750616173,1
bio,3500,0.0063,0.003,1302,0.4886846533573834,0.7947569540427086,0.3031900821515111,0.4375285017758422,True,0.48845095806844935,0.4883122263668475,0.4885677711314031,1,0.7951389094900311,0.7949861973610625,0.7952995750616173,1
bio,3500,0.0063,0.003,1303,0.48807147486297536,0.7952893775580172,0.3021154332484038,0.43369210235161604,True,0.48845095806844935,0.4883122263668475,0.4885677711314031,1,0.7951389094900311,0.7949861973610625,0.7952995750616173,1
bio,3500,0.0063,0.003,1304,0.4885378057600568,0.7950104844963064,0.30196684773494464,0.4276622003649227,True,0.48845095806844935,0.4883122263668475,0.4885677711314031,1,0.7951389094900311,0.7949861973610625,0.7952995750616173,1
bio,3500,0.0063,0.005,1301,0.4883498982933818,0.7953348218630929,0.30208826503297376,0.42226900798596073,True,0.48829095806844935,0.48815222636684746,0.4884077711314032,1,0.7949749094900312,0.7948221973610626,0.7951355750616173,1
bio,3500,0.0063,0.005,1302,0.4885246533573835,0.7945929540427086,0.3032720821515111,0.4375615419934613,True,0.48829095806844935,0.48815222636684746,0.4884077711314032,1,0.7949749094900312,0.7948221973610626,0.7951355750616173,1
bio,3500,0.0063,0.005,1303,0.4879114748629754,0.795125377558017,0.3021974332484037,0.4337254084440466,True,0.48829095806844935,0.48815222636684746,0.4884077711314032,1,0.7949749094900312,0.7948221973610626,0.7951355750616173,1
bio,3500,0.0063,0.005,1304,0.48837780576005685,0.7948464844963066,0.30204884773494467,0.4276957238499291,True,0.48829095806844935,0.48815222636684746,0.4884077711314032,1,0.7949749094900312,0.7948221973610626,0.7951355750616173,1
bio,3500,0.00645,0.001,1301,0.49116989787671517,0.7966628216964262,0.3014242651163071,0.4219961072943141,True,0.49111095765178275,0.4909722259501809,0.4912277707147365,1,0.7963029093233646,0.796150197194396,0.7964635748949506,1
bio,3500,0.00645,0.001,1302,0.49134465294071683,0.7959209538760419,0.3026080822348444,0.4372937011881797,True,0.49111095765178275,0.4909722259501809,0.4912277707147365,1,0.7963029093233646,0.796150197194396,0.7964635748949506,1
bio,3500,0.00645,0.001,1303,0.49073147444630877,0.7964533773913506,0.3015334333317371,0.43345541525620657,True,0.49111095765178275,0.4909722259501809,0.4912277707147365,1,0.7963029093233646,0.796150197194396,0.7964635748949506,1
bio,3500,0.00645,0.001,1304,0.4911978053433902,0.7961744843296399,0.3013848478182779,0.4274239745635081,True,0.49111095765178275,0.4909722259501809,0.4912277707147365,1,0.7963029093233646,0.796150197194396,0.7964635748949506,1
bio,3500,0.00645,0.003,1301,0.4910098978767151,0.7964988216964263,0.30150626511630707,0.42202984428348866,True,0.4909509576517827,0.490812225950181,0.49106777071473656,1,0.7961389093233646,0.795986197194396,0.7962995748949506,1
bio,3500,0.00645,0.003,1302,0.4911846529407168,0.795756953876042,0.3026900822348444,0.43732681446542915,True,0.4909509576517827,0.490812225950181,0.49106777071473656,1,0.7961389093233646,0.795986197194396,0.7962995748949506,1
bio,3500,0.00645,0.003,1303,0.4905714744463088,0.7962893773913505,0.30161543333173707,0.4334887942708654,True,0.4909509576517827,0.490812225950181,0.49106777071473656,1,0.7961389093233646,0.795986197194396,0.7962995748949506,1
bio,3500,0.00645,0.003,1304,0.49103780534339014,0.7960104843296398,0.3014668478182779,0.42745756991964184,True,0.4909509576517827,0.490812225950181,0.49106777071473656,1,0.7961389093233646,0.795986197194396,0.7962995748949506,1
bio,3500,0.00645,0.005,1301,0.4908498978767151,0.7963348216964262,0.3015882651163071,0.4220635712902368,True,0.4907909576517828,0.4906522259501809,0.4909077707147365,1,0.7959749093233647,0.795822197194396,0.7961355748949507,1
bio,3500,0.00645,0.005,1302,0.49102465294071684,0.7955929538760419,0.3027720822348444,0.43735991743439473,True,0.4907909576517828,0.4906522259501809,0.4909077707147365,1,0.7959749093233647,0.795822197194396,0.7961355748949507,1
bio,3500,0.00645,0.005,1303,0.4904114744463088,0.7961253773913505,0.30169743333173704,0.43352216299677093,True,0.4907909576517828,0.4906522259501809,0.4909077707147365,1,0.7959749093233647,0.795822197194396,0.7961355748949507,1
bio,3500,0.00645,0.005,1304,0.4908778053433902,0.7958464843296398,0.30154884781827795,0.4274911551356212,True,0.4907909576517828,0.4906522259501809,0.4909077707147365,1,0.7959749093233647,0.795822197194396,0.7961355748949507,1
bio,3500,0.0066,0.001,1301,0.4936698974600486,0.7976628215297595,0.3009242651996405,0.42179017771217064,True,0.4936109572351161,0.4934722255335142,0.49372777029806986,1,0.797302909156698,0.7971501970277292,0.797463574728284,1
bio,3500,0.0066,0.001,1302,0.4938446525240502,0.7969209537093752,0.30210808231817776,0.4370915676532894,True,0.4936109572351161,0.4934722255335142,0.49372777029806986,1,0.797302909156698,0.7971501970277292,0.797463574728284,1
bio,3500,0.0066,0.001,1303,0.49323147402964224,0.797453377224684,0.30103343341507033,0.43325166179745167,True,0.4936109572351161,0.4934722255335142,0.49372777029806986,1,0.797302909156698,0.7971501970277292,0.797463574728284,1
bio,3500,0.0066,0.001,1304,0.49369780492672355,0.7971744841629733,0.30088484790161135,0.4272189051748823,True,0.4936109572351161,0.4934722255335142,0.49372777029806986,1,0.797302909156698,0.7971501970277292,0.797463574728284,1
bio,3500,0.0066,0.003,1301,0.4935098974600486,0.7974988215297596,0.3010062651996404,0.4218239756658008,True,0.49345095723511606,0.4933122255335142,0.4935677702980699,1,0.7971389091566979,0.796986197027729,0.7972995747282839,1
bio,3500,0.0066,0.003,1302,0.4936846525240502,0.7967569537093752,0.30219008231817773,0.4371247438902362,True,0.49345095723511606,0.4933122255335142,0.4935677702980699,1,0.7971389091566979,0.796986197027729,0.7972995747282839,1
bio,3500,0.0066,0.003,1303,0.4930714740296422,0.797289377224684,0.3011154334150704,0.43328510365149503,True,0.49345095723511606,0.4933122255335142,0.4935677702980699,1,0.7971389091566979,0.796986197027729,0.7972995747282839,1
bio,3500,0.0066,0.003,1304,0.49353780492672356,0.7970104841629733,0.3009668479016113,0.4272525624607047,True,0.49345095723511606,0.4933122255335142,0.4935677702980699,1,0.7971389091566979,0.796986197027729,0.7972995747282839,1
bio,3500,0.0066,0.005,1301,0.4933498974600486,0.7973348215297597,0.30108826519964044,0.421857763609936,True,0.49329095723511623,0.49315222553351434,0.49340777029807,1,0.796974909156698,0.7968221970277292,0.797135574728284,1
bio,3500,0.0066,0.005,1302,0.49352465252405026,0.7965929537093752,0.3022720823181777,0.43715790978948804,True,0.49329095723511623,0.49315222553351434,0.49340777029807,1,0.796974909156698,0.7968221970277292,0.797135574728284,1
bio,3500,0.0066,0.005,1303,0.4929114740296422,0.7971253772246839,0.3011974334150703,0.4333185351877191,True,0.49329095723511623,0.49315222553351434,0.49340777029807,1,0.796974909156698,0.7968221970277292,0.797135574728284,1
bio,3500,0.0066,0.005,1304,0.4933778049267236,0.7968464841629732,0.3010488479016113,0.42728620957832364,True,0.49329095723511623,0.49315222553351434,0.49340777029807,1,0.796974909156698,0.7968221970277292,0.797135574728284,1
