constant,method,estimated_value,target_value,relative_error,calibration_factor,within_tolerance
speed_of_light,EX01_wavefront,298743086.15826905,299792458.0,0.003500327689134035,1.0035126230207552,False
planck_constant,simulation_default,6.6e-34,6.62607015e-34,0.003934481436179812,1.0039500227272729,False
