beta,theta_deg,f_prime_f0
0.1,0,0.9045340337332909
0.1,90,1.005037815259212
0.1,180,1.1055415967851334
0.5,0,0.5773502691896258
0.5,90,1.1547005383792517
0.5,180,1.7320508075688776
0.9,0,0.22941573387056174
0.9,90,2.294157338705618
0.9,180,4.358898943540674
