time,step,detector_0,detector_1,detector_2,detector_3,detector_4,detector_5,detector_6,detector_7,detector_8,detector_9
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.122735500560016e-10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.245471001120032e-10,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.368206501680048e-10,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.490942002240064e-10,40,7.202509552340451e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.061367750280008e-09,50,7.98207042842149e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2736413003360096e-09,60,2.6687748638735294e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4859148503920112e-09,70,0.00015941769710974913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6981884004480128e-09,80,0.01682692762087607,2.7474985121591265e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9104619505040146e-09,90,0.2962463176713292,1.038566728558864e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.122735500560016e-09,100,0.7904381965088364,7.234421833308114e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3350090506160174e-09,110,0.27812997879688517,1.3757569778353258e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5472826006720192e-09,120,0.010874117899960655,3.69466500653389e-08,2.37106579154247e-46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.759556150728021e-09,130,4.0220224017311135e-05,2.326121764662405e-05,1.8200230337816516e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9718297007840224e-09,140,1.2820271381193598e-08,0.0033922296193820787,1.729299546178397e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.184103250840024e-09,150,6.951501992310952e-13,0.10675498238648398,2.7395278693631483e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3963768008960256e-09,160,2.2267709739457089e-13,0.6392681099128794,2.272032851310142e-16,3.7654793108338426e-63,0.0,0.0,0.0,0.0,0.0,0.0
3.6086503509520274e-09,170,-1.274134639825561e-14,0.5862016679278804,2.263614695156265e-12,1.6556968588779876e-50,0.0,0.0,0.0,0.0,0.0,0.0
3.820923901008029e-09,180,-2.3754105786627913e-13,0.05661442778501956,5.164436751640083e-09,5.808512792329785e-41,0.0,0.0,0.0,0.0,0.0,0.0
4.03319745106403e-09,190,-3.0611025048685157e-13,0.0003177370093171277,3.374897345407818e-06,3.052940542907172e-33,0.0,0.0,0.0,0.0,0.0,0.0
4.245471001120032e-09,200,-1.9490198100117696e-11,5.9451246054213947e-08,0.0006238273534635097,7.58069951240558e-27,2.04932166647053e-80,0.0,0.0,0.0,0.0,0.0
4.457744551176034e-09,210,-2.691005060073346e-08,-2.298994353279628e-14,0.030563446963218315,1.6843489164413172e-21,2.8206789970730387e-66,0.0,0.0,0.0,0.0,0.0
4.670018101232035e-09,220,-1.1580706188681106e-05,-2.740635719093333e-13,0.35357281148989456,5.313938640915212e-17,1.780511473492497e-55,0.0,0.0,0.0,0.0,0.0
4.882291651288037e-09,230,-0.0014873651380671237,-2.260625483253404e-13,0.7843706248001723,3.6088191378132656e-13,1.4771101812727481e-46,0.0,0.0,0.0,0.0,0.0
5.0945652013440385e-09,240,-0.052872851445763334,-2.053674941478224e-13,0.22059588640238323,7.271722206223368e-10,5.565133114351007e-39,4.915902709571281e-98,0.0,0.0,0.0,0.0
5.30683875140004e-09,250,-0.45577557083948195,-2.0961446823910799e-13,0.002765680609825618,4.886403069709979e-07,1.831947888553392e-32,1.5809266081773666e-82,0.0,0.0,0.0,0.0
5.519112301456042e-09,260,-0.7460746549967835,-3.1088994733783374e-12,1.3723137569669204e-07,0.00010817400349286042,7.941904571029362e-27,1.1669651859156125e-70,0.0,0.0,0.0,0.0
5.731385851512043e-09,270,-0.13599463088863903,-3.7756059957878056e-09,1.011065632055598e-09,0.007464117529862319,6.114863156115384e-22,9.621546609299777e-61,0.0,0.0,0.0,0.0
5.943659401568045e-09,280,-0.0003713158879875884,-1.7496241072516576e-06,-6.085711378437756e-11,0.14573846701174603,1.0835039423971758e-17,3.404076073130992e-52,5.715703475109152e-116,0.0,0.0,0.0
6.155932951624047e-09,290,3.131666336142088e-07,-0.0002782413745850724,-1.4318986154471124e-13,0.6783253363539733,5.6349252235014793e-14,1.0352169132134852e-44,3.925328297165032e-99,0.0,0.0,0.0
6.368206501680048e-09,300,-7.301874942378675e-09,-0.014255574169212679,3.8736443854042813e-13,0.5342593310035836,1.0298825125613283e-10,4.133659026351921e-38,2.5635348564698978e-86,0.0,0.0,0.0
6.5804800517360495e-09,310,3.263572725704266e-10,-0.21124257422196785,-1.0794372730341149e-13,0.026845751778112454,7.072024398864326e-08,2.887123466842374e-32,1.5452891318949267e-75,0.0,0.0,0.0
6.792753601792051e-09,320,-8.817277867798263e-12,-0.7453986517940377,-4.156545736094229e-13,1.0337104942922272e-05,1.8035569373195834e-05,4.3658129734909465e-27,3.714594414374623e-66,3.157829426479098e-134,0.0,0.0
7.005027151848053e-09,330,-3.2837479331021614e-12,-0.41423443338840343,-5.330117880766147e-10,5.227476175975593e-07,0.001631088349235554,1.7075755779633637e-22,7.457948115652114e-58,5.147389816038825e-116,0.0,0.0
7.217300701904055e-09,340,5.738242203281279e-13,-0.007249734570891741,-2.6199664870847234e-07,-1.950426359911635e-08,0.04834029934967218,2.0395379629454562e-18,1.9528164060251895e-50,2.4637068804542716e-102,0.0,0.0
7.429574251960056e-09,350,2.092936620951993e-13,-4.388921582247729e-05,-4.938033422548227e-05,1.2390428960345729e-09,0.4100379458563128,8.675012295348374e-15,8.97370199259512e-44,8.750650653705395e-91,0.0,0.0
7.641847802016059e-09,360,2.3988323995636658e-14,-1.0450486726917266e-07,-0.003387815611285319,-1.444733012250671e-10,0.7690147358117553,1.4656084140863284e-11,8.946988508870088e-38,1.136601848333341e-80,6.635847265565828e-153,0.0
7.85412135207206e-09,370,2.5117975284163453e-14,5.0337694242015364e-08,-0.07756614008275214,1.9023619623401597e-11,0.16490675160221074,1.0239304550163537e-08,2.2746094679579717e-32,1.1855702597288974e-71,3.9850279206589844e-133,0.0
8.06639490212806e-09,380,1.8652967185519828e-13,-4.273024897437039e-09,-0.5099607883407155,-5.923648149649272e-13,-0.0014694766140231127,2.926179156442075e-06,1.683489691916103e-27,1.5874801229792826e-63,1.2291773906978858e-118,0.0
8.278668452184063e-09,390,3.4655256989677716e-13,4.830828054545452e-10,-0.71446580066403,-7.669858257342577e-11,-3.0189749371352204e-05,0.0003291645075025139,4.085956763549201e-23,3.721684063418961e-56,2.1968561927215354e-106,0.0
8.490942002240064e-09,400,2.9597754577417575e-13,-7.176603661391713e-11,-0.08755917692547499,-3.9006156296081553e-08,-8.158991798706285e-07,0.013666031528417104,3.643870928967327e-19,1.9028852197885044e-49,1.3016687347688266e-95,0.0
8.703215552296065e-09,410,4.5614526740712515e-14,9.018696268815191e-12,0.000540917276708157,-8.440412270322394e-06,8.390301657764492e-08,0.1882519695643566,1.3223571501568308e-15,2.4986213350120673e-43,5.906718278231007e-86,1.9604235668702584e-150
8.915489102352068e-09,420,-1.5715312656177433e-13,9.193960683079397e-13,2.1836966953920036e-05,-0.0007343237841888654,-3.2555936112864632e-09,0.7102639473425867,2.0940222759192114e-12,9.568452315181621e-38,3.3619598210916264e-77,3.576674334262996e-135
9.127762652408069e-09,430,-1.1303414848106112e-13,-8.786046508766772e-13,-4.512975748604761e-07,-0.023944440009650153,4.9351716683525265e-11,0.47788118086173836,1.4836673913458252e-09,1.1860051755547501e-32,3.319874417572891e-69,2.856987051789314e-122
9.34003620246407e-09,440,1.0052937649413524e-13,3.1686641235060463e-15,-1.7035085598819688e-07,-0.2604174498068645,-2.2697284410850186e-11,0.0016978147340859819,4.655725629815865e-07,5.21170479876977e-28,7.14852419254103e-62,6.78514544783763e-111
9.552309752520072e-09,450,2.1985703450880392e-13,7.466874077102177e-14,1.428561621807304e-08,-0.7614664756425719,9.78638059180201e-12,0.0005205040923559051,6.2657099565548e-05,8.84014786542086e-24,3.974770298786518e-55,1.1691073374845188e-100
9.764583302576073e-09,460,1.1466999084618817e-13,3.0840161530054885e-14,-7.108566064926456e-10,-0.35403665197450995,-5.794193407628363e-09,2.7936988991703323e-05,0.003430076396521953,6.276772439277363e-20,6.498245906888735e-49,2.4549345449348e-91
9.976856852632076e-09,470,-5.927238465307822e-14,6.67381274849524e-14,4.072069508666075e-11,0.00810535434049617,-1.4034214213842612e-06,1.3108364792971596e-06,0.07018599734163716,2.0013847318117366e-16,3.4629109873274913e-43,8.814540021009796e-83
1.0189130402688077e-08,480,-5.5665259620464806e-14,1.2799358281008065e-13,-2.687436484656177e-11,-0.00020317011211207214,-0.00014861669794606774,-1.7692945963569704e-07,0.4645971432760282,3.0019855170907535e-13,6.548106901769967e-38,6.864168720363177e-75
1.0401403952744078e-08,490,1.575160196941724e-13,1.2354171998850983e-13,1.7219945987394133e-11,-1.7001353406543263e-05,-0.006486531436582046,-1.1255046416513899e-08,0.7447916837476807,2.151885343128429e-10,4.7270532850745526e-33,1.3815780227690423e-67
1.061367750280008e-08,500,3.536772127403641e-13,-5.075071322880446e-15,-7.540502036423967e-12,4.5955860724811723e-07,-0.1064581145839831,4.942598700543495e-09,0.112130009091161,7.301711506765163e-08,1.3923946892579685e-28,8.219376671963692e-61
1.0825951052856082e-08,510,3.1998049499021556e-13,-2.1353117480091029e-13,1.9279379586814298e-12,3.8095051651130355e-07,-0.5601660134306303,-1.1125219685102114e-09,-0.002210968690541247,1.1414248555795313e-05,1.782670018985508e-24,1.6064776967356477e-54
1.1038224602912084e-08,520,1.094781261646896e-13,-3.6831191419482933e-13,1.5454486630352938e-13,-6.468430405773099e-09,-0.674962446879277,-5.972720964732338e-10,-0.0002988306519185859,0.0007867061297379687,1.0526745157901008e-20,1.1235005851717607e-48
1.1250498152968085e-08,530,-3.335303669737216e-14,-3.5605577073916377e-13,-3.3206086753399896e-13,-7.591654596934965e-09,-0.04331885741990323,-2.2862324899325875e-07,-2.729718028790909e-05,0.0223318924802568,3.0132423363203136e-17,3.018056252891598e-43
1.1462771703024086e-08,540,1.8191461334325173e-14,-1.9268596856787517e-13,2.0589826596987244e-13,2.1847856509114924e-09,-0.0012117313268145912,-2.854757099053418e-05,-2.4041383774275502e-06,0.2336318781971309,4.316061090498798e-14,3.3093743348778023e-38
1.1675045253080089e-08,550,1.21979798765638e-13,-2.284465331550504e-14,3.52001510637274e-13,-5.419558775639441e-10,0.00017072960786267572,-0.0015901411002303028,1.7682353819355093e-07,0.7343505657794791,3.1242653017285606e-11,1.5639090112457123e-33
1.188731880313609e-08,560,5.85963282663308e-14,5.285763174993514e-15,1.8054906464348476e-13,1.471166375107189e-10,2.0429886189764648e-05,-0.036704983276789366,7.171482161056278e-08,0.41808949529843076,1.1327994222822478e-08,3.350326706023237e-29
1.209959235319209e-08,570,-1.7540378606359173e-13,-1.2599187031959952e-13,-8.024821605855835e-14,-4.1629876979887584e-11,5.431879272648482e-07,-0.31106311591078356,-1.4346633112071498e-08,-0.01861770617235292,2.0103501146611485e-06,3.414153331434712e-25
1.2311865903248093e-08,580,-3.4329702844555375e-13,-2.8446733651862894e-13,-2.7613933684716784e-13,9.368765711276505e-12,-5.634944036712182e-07,-0.7687760677221268,1.15711270776601e-09,0.0016215255329383696,0.0001683086252897341,1.730033092528082e-21
1.2524139453304094e-08,590,-2.4780808067023447e-13,-3.150801974986296e-13,-3.1858950876263904e-13,1.5540749058930452e-13,-7.09776865312215e-08,-0.2928681107425128,-3.658098610487044e-08,0.00020451781449729354,0.0062873135812493,4.518879611442275e-18
1.2736413003360095e-08,600,2.7086898476470805e-14,-1.9008093739323117e-13,-2.1176957123017833e-13,-1.2173462040729118e-12,2.697244234217479e-08,0.019011388840645804,-5.265882078118777e-06,2.64649164916428e-05,0.09603430623901792,6.220830832541842e-15
1.2948686553416098e-08,610,2.150759865950175e-13,-4.0779873799594546e-14,-3.714399288860774e-14,9.52248968531621e-13,-3.38782689417786e-09,-0.0002853958383720642,-0.0003606678477877345,3.940141999348149e-06,0.5162141553549344,4.540743788039069e-12
1.3160960103472099e-08,620,1.7604699420777515e-13,-2.1914548519367056e-14,1.0051104636084342e-13,1.0024798476006191e-14,-1.3575244169033674e-11,-0.00017072881396648862,-0.011088860314913603,1.0583055353392858e-07,0.7122325800868191,1.7428654438844182e-09
1.3373233653528102e-08,630,3.565633899602902e-14,-1.5524451844860862e-13,1.3535869673620029e-13,-1.504291949315986e-13,1.4636682644253413e-10,-2.616462989829848e-05,-0.13927157440783586,-1.5906328444583304e-07,0.06311556411686861,3.4485063824529e-07
1.3585507203584103e-08,640,-5.118478472615584e-15,-2.997373186553714e-13,7.552655791191487e-14,1.8240426881533677e-13,-5.127788640877266e-11,-2.646472267721299e-06,-0.6053965487589388,2.8299322267422804e-09,-4.412488300996938e-05,3.409375862605251e-05
1.3797780753640104e-08,650,6.37418464606669e-14,-2.931573009598906e-13,-5.038072489763867e-15,2.30033542078039e-13,5.85138888218458e-12,4.4999775300529505e-07,-0.6284222670389212,2.006447098552908e-09,-0.0010984786230470017,0.0016082172963667741
1.4010054303696106e-08,660,7.030330137742168e-14,-1.1654664976626736e-13,-2.1633512609536568e-14,2.1895520737812885e-14,6.960484900681807e-12,2.2435668686619283e-07,-0.003978213762454216,-9.436480129678705e-07,-0.00013556096190764355,0.03374761568272246
