run_id,domain,agents,epsilon,shock,seed,CCI,survival_rate,hazard,collapse_risk,preregistered,sha256_data,cci_ci_lo,cci_ci_hi,survival_ci_lo,survival_ci_hi,cci_ci,survival_ci
1,bio,100,0.003,0.2,101,0.4147778438336457,0.7556399910370947,0.32317235861542043,0.45735230173941854,True,5bf1cc9319d6bc3868adce444e9cdb5e243cc35f54a94e992c6c83a8fd3604ff,0.4163957395192169,0.41726740011407976,0.7564889918548777,0.7570358177730242,1,1
2,bio,100,0.003,0.2,102,0.4162441466944214,0.7555722480582832,0.323655155551023,0.46929387495094754,True,a0eee110270e101f2b6a459541da66e2a141597d6c8465ede2eca7e275f08e78,0.4163957395192169,0.41726740011407976,0.7564889918548777,0.7570358177730242,1,1
3,bio,100,0.003,0.2,103,0.4163503644305707,0.7569740828930118,0.3219425248679811,0.4612392768035692,True,76b2c08331c599d74ece4196fb52232bd39b1d426bc0ba144daeea1f5b2d6925,0.4163957395192169,0.41726740011407976,0.7564889918548777,0.7570358177730242,1,1
4,bio,100,0.003,0.2,104,0.4181943379837585,0.7571350584591271,0.3210204286249037,0.4631292162191009,True,49473827ff2a7ac788b2aecb57d3cf4c949f21f5f3f0ea1d8903d89fcbc884e4,0.4163957395192169,0.41726740011407976,0.7564889918548777,0.7570358177730242,1,1
5,bio,100,0.003,0.2,105,0.41648733270828325,0.7575534427585481,0.3191263390749684,0.47212327455391506,True,ad7754b0adb6cfd142f745c93282e8892b447d378c2b518f60cd529f4c0d26ca,0.4163957395192169,0.41726740011407976,0.7564889918548777,0.7570358177730242,1,1
6,bio,100,0.003,0.2,106,0.41843374212409623,0.7570742149408306,0.32077556056131684,0.45881602807744737,True,68f02c5726a78699b269d56d5e2f41522c347ebf51dc1834588c364035cf91c8,0.4163957395192169,0.41726740011407976,0.7564889918548777,0.7570358177730242,1,1
7,bio,100,0.003,0.2,107,0.4178972667010616,0.757442366711287,0.32132821798941463,0.4524217658964487,True,92132e0358fd479bbe13b531b46baa6827339f2cc662c100bc136c0d65a05aa1,0.4163957395192169,0.41726740011407976,0.7564889918548777,0.7570358177730242,1,1
8,bio,100,0.003,0.2,108,0.4163991623542488,0.7566774811450073,0.32177238124233476,0.4506429720184723,True,c82be9033fd95873080702f9605854a1925a0a26bc9181b131bde9b4bd53d685,0.4163957395192169,0.41726740011407976,0.7564889918548777,0.7570358177730242,1,1
9,bio,100,0.003,0.3,101,0.4067778438336456,0.7474399910370946,0.32727235861542037,0.4588430564565448,True,c3de77372c5a64e0cd8eb3a5a3931f07bc1c293a765e2b4963e84e534d89c49a,0.40839573951921687,0.40926740011407975,0.7482889918548776,0.7488358177730242,1,1
10,bio,100,0.003,0.3,102,0.4082441466944214,0.7473722480582833,0.32775515555102297,0.4707439673986132,True,609da3e46bbc285ff3c35674ddd1d6475000188a3263620c65d1bdba9278c589,0.40839573951921687,0.40926740011407975,0.7482889918548776,0.7488358177730242,1,1
11,bio,100,0.003,0.3,103,0.4083503644305707,0.7487740828930117,0.3260425248679811,0.4627238864979654,True,c5c4ff00ac98d0e87519a58fea3aebc48fcbef534525efd11fcc529dde62c49a,0.40839573951921687,0.40926740011407975,0.7482889918548776,0.7488358177730242,1,1
12,bio,100,0.003,0.3,104,0.4101943379837585,0.7489350584591269,0.32512042862490376,0.4646120290122435,True,0b2863d88b3a9089e2ce6873997bfc5d66824beca52e275b47c6dcd7a37ed661,0.40839573951921687,0.40926740011407975,0.7482889918548776,0.7488358177730242,1,1
13,bio,100,0.003,0.3,105,0.40848733270828325,0.749353442758548,0.32322633907496845,0.4735834753133203,True,acc5352f41461c0fd02900a63f138b5d437249af0605ab30703317f7046c7cd0,0.40839573951921687,0.40926740011407975,0.7482889918548776,0.7488358177730242,1,1
14,bio,100,0.003,0.3,106,0.4104337421240963,0.7488742149408306,0.3248755605613169,0.46031346629528075,True,dcc13985aa10742d927d13058da0affe8ecb4f19b0ae7534431ea431ecf4afe1,0.40839573951921687,0.40926740011407975,0.7482889918548776,0.7488358177730242,1,1
15,bio,100,0.003,0.3,107,0.4098972667010616,0.7492423667112869,0.3254282179894146,0.45393490313723717,True,9dd1b4b25bf336191a385a475e4cb18423f91b146c7ef40f435e7976040de661,0.40839573951921687,0.40926740011407975,0.7482889918548776,0.7488358177730242,1,1
16,bio,100,0.003,0.3,108,0.40839916235424883,0.7484774811450072,0.32587238124233475,0.4521587409844818,True,ec68341a96571184aca812d0d4142879fb7ea1f17524dc39366b6b0cdf605974,0.40839573951921687,0.40926740011407975,0.7482889918548776,0.7488358177730242,1,1
17,bio,100,0.003,0.5,101,0.3907778438336458,0.7310399910370946,0.33547235861542035,0.4617564058347558,True,dd362ddd35be77160c60383b420d6f8d9a208c974e6ecae1a81b9af29e011baa,0.3923957395192169,0.3932674001140798,0.7318889918548777,0.732435817773024,1,1
18,bio,100,0.003,0.5,102,0.39224414669442137,0.7309722480582833,0.335955155551023,0.47357543674356656,True,cc6930527f5680118827dc261db8b8abd44ae2b82bf69b5c207d479f13cc781d,0.3923957395192169,0.3932674001140798,0.7318889918548777,0.732435817773024,1,1
19,bio,100,0.003,0.5,103,0.3923503644305707,0.7323740828930118,0.33424252486798106,0.46562413181056606,True,2439f1dacb4dc43d43b4b30264b2d40754eee30f7196ae73852d3acf7c08a38d,0.3923957395192169,0.3932674001140798,0.7318889918548777,0.732435817773024,1,1
