omega_rad_s,ring_area_m2,phase_shift_rad,phase_shift_theory
0,3.141592653589793,0.0,0.0
1,3.141592653589793,0.20809499635006057,0.20809499635006057
5,3.141592653589793,1.0404749817503027,1.0404749817503027
10,3.141592653589793,2.0809499635006055,2.0809499635006055
