run_id,family,label,seed,epochs_cap,agents,fast_mode,early_stopped,coordination_strength,goal_inequality,expansion_mode,expansion_params,hygiene_mode,hygiene_params,lifespan_epochs,collapse_flag,peak_CCI,final_CCI,hazard_peak,stability_CCI_mean,stability_hazard_mean,stability_CCI_slope,divergence_epoch,time_sec
F1_EH_early_periodic_5000_s1,F1,F1_EH_early_periodic_5000,1,5000,48,True,False,0.6,0.15,fixed_early,"{\"mode\": \"fixed_early\", \"pct\": 0.03, \"every\": 12, \"start\": 12}",fixed_periodic,"{\"mode\": \"fixed_periodic\", \"every\": 40, \"noise_trim_pct\": 0.12, \"recalibrate\": true}",4999,False,1.0,0.4304194377496805,0.8690717485441255,0.45148757449388455,0.8218044745020279,-0.0009858208154160256,,0.01020503044128418
F1_H_aggressive_s1,F1,F1_H_aggressive,1,5000,48,True,False,0.6,0.15,,,fixed_periodic,"{\"mode\": \"fixed_periodic\", \"every\": 25, \"noise_trim_pct\": 0.3, \"recalibrate\": true}",4999,False,1.0,0.4299021262411586,0.8690717485441255,0.45981180334236604,0.8082866475329182,-0.0009668663848339122,,0.019488811492919922
F1_E_early_adapt_s1,F1,F1_E_early_adapt,1,5000,48,True,False,0.6,0.15,hybrid,"{\"mode\": \"hybrid\", \"early_pct\": 0.03, \"early_every\": 12, \"early_start\": 12, \"adaptive_pct\": 0.015, \"adaptive_hazard_thresh\": 0.2, \"adaptive_cooldown\": 30}",, ,4999,False,1.0,0.43332778880294415,0.8690717485441255,0.44152606235171715,0.8436299955316022,-0.0009507989441463842,,0.029675960540771484
