beta,gamma,t_lab_s,t0_s
0.0,1.0,6.671114076050701e-09,6.671114076050701e-09
0.3,1.0482848367219182,6.993227729966099e-09,6.671114076050701e-09
0.6,1.25,8.338892595063376e-09,6.671114076050701e-09
0.9,2.294157338705618,1.5304585314914062e-08,6.671114076050701e-09
