variant,M_rec,DeltaM,T_rec,disp_rec_mean
baseline,0.42217318104189266,0.054232916017779055,0.7886512180629828,0.08207370386201165
v3_ep0.21_sd0.05,0.4506948212875367,0.07157775039149102,0.7945929887106358,0.08285291577539347
v3_ep0.21_sd0.04,0.4507209487200548,0.07160387782400911,0.7945929887106358,0.08285291577539347
v3_ep0.22_sd0.05,0.4509730804886801,0.0718560095926344,0.7945929887106358,0.08285291577539347
v3_ep0.22_sd0.04,0.45106687916850596,0.07194980827246025,0.7945929887106358,0.08285291577539347
