eta_peak,sigma_drop,M_rec_mean,M_rec_std,DeltaM_mean,T_rec_mean,disp_rec_mean,disp_rec_max
0.21,0.05,0.4506948212875367,0.006706250438706845,0.07157775039149102,0.7945929887106358,0.08285291577539347,0.17478099879596184
0.21,0.04,0.4507209487200548,0.00670989200335005,0.07160387782400911,0.7945929887106358,0.08285291577539347,0.17478099879596184
0.22,0.05,0.4509730804886801,0.006796039207250522,0.0718560095926344,0.7945929887106358,0.08285291577539347,0.17478099879596184
0.22,0.04,0.45106687916850596,0.00675698685532208,0.07194980827246025,0.7945929887106358,0.08285291577539347,0.17478099879596184
