domain,agents,epsilon,shock,seed,CCI,survival_rate,hazard,collapse_risk,preregistered,CCI_mean,CCI_ci_lo,CCI_ci_hi,CCI_ci,survival_rate_mean,survival_rate_ci_lo,survival_rate_ci_hi,survival_ci
bio,1200,0.004,0.01,1001,0.44906807993786135,0.7792176893397661,0.3110738700028617,0.45571192347229006,True,0.4495433015259389,0.44918122193734944,0.44991292742059963,1,0.7793562010121314,0.7792232296902218,0.7794968169493791,1
bio,1200,0.004,0.01,1002,0.4498148322911368,0.7790655384071222,0.3110462573613318,0.4361033735445065,True,0.4495433015259389,0.44918122193734944,0.44991292742059963,1,0.7793562010121314,0.7792232296902218,0.7794968169493791,1
bio,1200,0.004,0.01,1003,0.45091901250769617,0.7798721530201183,0.3105357655781268,0.45616476309317194,True,0.4495433015259389,0.44918122193734944,0.44991292742059963,1,0.7793562010121314,0.7792232296902218,0.7794968169493791,1
bio,1200,0.004,0.01,1004,0.4498888256145655,0.7794331582282099,0.3109225368857024,0.4508967825137015,True,0.4495433015259389,0.44918122193734944,0.44991292742059963,1,0.7793562010121314,0.7792232296902218,0.7794968169493791,1
bio,1200,0.004,0.01,1005,0.448925886937897,0.7795491848938688,0.3092138179207475,0.4396826380921518,True,0.4495433015259389,0.44918122193734944,0.44991292742059963,1,0.7793562010121314,0.7792232296902218,0.7794968169493791,1
bio,1200,0.004,0.01,1006,0.44864317186647606,0.7789994821837026,0.3107439936060861,0.45798618481109277,True,0.4495433015259389,0.44918122193734944,0.44991292742059963,1,0.7793562010121314,0.7792232296902218,0.7794968169493791,1
bio,1200,0.004,0.02,1001,0.4482680799378614,0.778397689339766,0.31148387000286176,0.45586836750571663,True,0.4487433015259389,0.44838122193734953,0.4491129274205997,1,0.7785362010121312,0.7784032296902217,0.778676816949379,1
bio,1200,0.004,0.02,1002,0.4490148322911368,0.7782455384071221,0.3114562573613318,0.43626458219614134,True,0.4487433015259389,0.44838122193734953,0.4491129274205997,1,0.7785362010121312,0.7784032296902217,0.778676816949379,1
bio,1200,0.004,0.02,1003,0.45011901250769615,0.7790521530201181,0.3109457655781268,0.45632134414056,True,0.4487433015259389,0.44838122193734953,0.4491129274205997,1,0.7785362010121312,0.7784032296902217,0.778676816949379,1
bio,1200,0.004,0.02,1004,0.4490888256145655,0.7786131582282099,0.31133253688570245,0.4510546573707514,True,0.4487433015259389,0.44838122193734953,0.4491129274205997,1,0.7785362010121312,0.7784032296902217,0.778676816949379,1
