domain,agents,epsilon,shock,seed,CCI,survival_rate,hazard,collapse_risk,preregistered,CCI_mean,CCI_ci_lo,CCI_ci_hi,CCI_ci,survival_rate_mean,survival_rate_ci_lo,survival_rate_ci_hi,survival_ci
bio,2000,0.004,0.005,1101,0.4495737575081409,0.7794091361804649,0.3102880482995022,0.4409287284733691,True,0.44960708572383656,0.44923130452670923,0.44998634297348894,1,0.7797861664330653,0.7795733655709326,0.7800173438473242,1
bio,2000,0.004,0.005,1102,0.44893893714093314,0.7797062829317272,0.31108524650982805,0.4347407432900728,True,0.44960708572383656,0.44923130452670923,0.44998634297348894,1,0.7797861664330653,0.7795733655709326,0.7800173438473242,1
bio,2000,0.004,0.005,1103,0.44885599090678624,0.779319500089408,0.3098399371753709,0.43329965081983424,True,0.44960708572383656,0.44923130452670923,0.44998634297348894,1,0.7797861664330653,0.7795733655709326,0.7800173438473242,1
bio,2000,0.004,0.005,1104,0.4489082125752951,0.7794241003799565,0.3091734237177237,0.44146197797998477,True,0.44960708572383656,0.44923130452670923,0.44998634297348894,1,0.7797861664330653,0.7795733655709326,0.7800173438473242,1
bio,2000,0.004,0.005,1105,0.4505958894153873,0.7804783911939268,0.31037510488700887,0.43874937358225147,True,0.44960708572383656,0.44923130452670923,0.44998634297348894,1,0.7797861664330653,0.7795733655709326,0.7800173438473242,1
bio,2000,0.004,0.005,1106,0.45076972679647614,0.7803795878229087,0.30980264197858837,0.4381055311483558,True,0.44960708572383656,0.44923130452670923,0.44998634297348894,1,0.7797861664330653,0.7795733655709326,0.7800173438473242,1
bio,2000,0.004,0.01,1101,0.44917375750814087,0.778999136180465,0.3104930482995022,0.4410090686642407,True,0.4492070857238365,0.4488313045267093,0.4495863429734889,1,0.7793761664330654,0.7791633655709325,0.7796073438473243,1
bio,2000,0.004,0.01,1102,0.4485389371409332,0.7792962829317271,0.31129024650982795,0.434821495225793,True,0.4492070857238365,0.4488313045267093,0.4495863429734889,1,0.7793761664330654,0.7791633655709325,0.7796073438473243,1
bio,2000,0.004,0.01,1103,0.4484559909067862,0.7789095000894081,0.31004493717537085,0.43338085704692286,True,0.4492070857238365,0.4488313045267093,0.4495863429734889,1,0.7793761664330654,0.7791633655709325,0.7796073438473243,1
bio,2000,0.004,0.01,1104,0.44850821257529516,0.7790141003799567,0.3093784237177238,0.44154254940252013,True,0.4492070857238365,0.4488313045267093,0.4495863429734889,1,0.7793761664330654,0.7791633655709325,0.7796073438473243,1
